Generating SQLite file outputs/deployment_optimization/fp16_profile/baseline/nsys/trtexec.sqlite from outputs/deployment_optimization/fp16_profile/baseline/nsys/trtexec.nsys-rep
Processing [outputs/deployment_optimization/fp16_profile/baseline/nsys/trtexec.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]...
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.9,152343833,2616,58235.4,4891.5,3683,57187428,1565165.8,cudaLaunchKernel
15.4,52364115,750,69818.8,1837.0,866,2804826,279048.9,cudaEventSynchronize
5.3,17967140,52,345521.9,236990.0,65088,4939888,680009.0,cuModuleLoadData
4.7,15982870,3000,5327.6,4304.0,3188,68816,4148.7,cuLaunchKernel
4.1,14028409,8,1753551.1,420752.5,80618,6126748,2586701.1,cuLibraryUnload
4.1,13935141,1,13935141.0,13935141.0,13935141,13935141,0.0,cudaProfilerStop
4.1,13794655,2400,5747.8,4743.0,3511,61112,4362.0,cuLaunchKernelEx
3.9,13314523,19,700764.4,6777.0,3841,13185449,3023305.6,cudaMallocAsync_v11020
2.8,9493144,69,137581.8,108018.0,9688,932726,153893.5,cuModuleUnload
2.7,9195366,4,2298841.5,2286749.5,1649570,2972297,711786.4,cudaGetDeviceProperties_v2_v12000
2.1,7268647,24,302860.3,3347.0,985,6538374,1330342.8,cudaFree
1.2,4093847,2,2046923.5,2046923.5,1445833,2648014,850070.3,cudaMallocHost
1.1,3578128,162,22087.2,8663.0,105,1543059,121315.2,cudaMemcpyAsync
0.7,2346936,362,6483.2,6411.5,2673,74787,5332.1,cudaEventRecord
0.7,2237433,17,131613.7,125258.0,29210,303098,65004.8,cuModuleLoadFatBinary
0.6,2201680,2,1100840.0,1100840.0,696817,1504863,571374.8,cudaFreeHost
0.2,781940,1,781940.0,781940.0,781940,781940,0.0,cudaLaunchHostFunc_v10000
0.2,672887,50,13457.7,11999.0,10835,31115,4211.4,cudaMemcpy2DAsync
0.2,645308,9,71700.9,10978.0,6634,527346,171173.4,cudaStreamCreate
0.1,487311,164,2971.4,2424.0,1002,52285,4059.4,cudaStreamWaitEvent
0.1,450293,3,150097.7,134960.0,123425,191908,36665.3,cudaMalloc
0.1,446284,390,1144.3,492.0,446,13549,1353.3,cudaEventCreateWithFlags
0.1,377253,390,967.3,774.5,346,8411,560.9,cudaEventDestroy
0.1,325192,63,5161.8,421.0,178,39457,8692.6,cudaMemsetAsync
0.1,174111,7,24873.0,6987.0,2376,130590,46780.7,cudaStreamSynchronize
0.0,131765,9,14640.6,15523.0,4133,34993,10497.0,cudaStreamDestroy
0.0,85561,419,204.2,163.0,88,1860,136.4,cuGetProcAddress_v2
0.0,71714,50,1434.3,1246.0,1085,5315,656.9,cudaStreamIsCapturing_v10000
0.0,69244,2,34622.0,34622.0,21224,48020,18947.6,cuMemcpyDtoH_v2
0.0,65727,18,3651.5,3248.5,1327,8622,2451.2,cudaDeviceSynchronize
0.0,5715,1,5715.0,5715.0,5715,5715,0.0,cudaFreeAsync_v11020
0.0,4050,1,4050.0,4050.0,4050,4050,0.0,cuInit
0.0,3747,1,3747.0,3747.0,3747,3747,0.0,cudaProfilerStart
0.0,3346,3,1115.3,331.0,260,2755,1420.4,cuModuleGetLoadingMode

Processing [outputs/deployment_optimization/fp16_profile/baseline/nsys/trtexec.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
11.7,14621467,2350,6221.9,4960.0,3360,34336,4400.3,generatedNativePointwise
10.9,13639474,1250,10911.6,8352.0,5408,44799,7793.4,"void genericReformat::copyPackedKernel<__half, __half, (bool)0, (bool)1, genericReformat::ArrayN<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
8.2,10301436,350,29432.7,23520.0,21087,59775,12143.9,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x64x64_stage1_warpsize2x2x1_g1_tensor16x8x8_t1r3s3_execute_kernel_trt
6.5,8127489,300,27091.6,24544.0,15584,46687,10611.4,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x2_g1_tensor16x8x8_t1r3s3_execute_kernel_trt
5.6,7014562,250,28058.2,27776.0,25504,32096,1753.4,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x2_g1_tensor16x8x8_execute_kernel_trt
5.2,6547400,350,18706.9,17856.0,16255,26528,2828.5,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x64x64_stage1_warpsize2x2x1_g1_tensor16x8x8_simple_t1r1s1_execute_kernel_trt
5.1,6413345,200,32066.7,32000.0,24384,40096,4539.0,trt_turing_h1688cudnn_256x64_ldg8_relu_exp_small_nhwc_linkable_tn_v1
4.2,5223060,100,52230.6,53696.0,49248,54880,2159.0,trt_turing_h1688cudnn_256x64_sliced1x2_ldg8_relu_exp_small_nhwc_linkable_tn_v1
3.1,3935871,50,78717.4,81023.0,74048,82560,3292.3,trt_turing_h1688cudnn_128x128_ldg8_relu_exp_small_nhwc_tn_v1
2.8,3515515,150,23436.8,23136.0,21056,25184,1215.6,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x64x64_stage1_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_trt
2.7,3409556,150,22730.4,22848.0,20095,25472,1306.4,trt_volta_s884cudnn_fp16_256x64_ldg8_relu_exp_interior_nhwc2nchw_tn_v1
2.7,3366457,150,22443.0,22624.0,20256,24192,1021.8,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x8_alignc4_execute_kernel_trt
2.7,3342635,200,16713.2,14016.0,12448,26816,5318.3,"void genericReformat::copyPackedKernel<__half, __half, (bool)1, (bool)1, genericReformat::ArrayN<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
2.1,2588602,100,25886.0,25600.0,21792,30048,3149.9,trt_turing_h1688cudnn_128x128_ldg8_relu_exp_interior_nhwc_linkable_tn_v1
2.0,2523668,100,25236.7,25792.0,23552,26688,1076.0,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x32_stage1_warpsize4x1x1_g1_tensor16x8x8
2.0,2472778,100,24727.8,25136.0,23072,26112,985.4,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x64x64_stage1_warpsize2x2x1_g1_tensor16x8x8
1.9,2438873,100,24388.7,24736.0,22655,26144,1065.7,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x32_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna8_alignc4_execute_kernel_trt
1.7,2165406,50,43308.1,44160.0,40800,45056,1496.5,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna4_alignc8_execute_kernel_trt
1.7,2151606,50,43032.1,44111.5,40192,44928,1639.2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna8_alignc8_execute_kernel_trt
