Generating SQLite file outputs/deployment_optimization/fp16_profile/p30_direct/nsys/trtexec.sqlite from outputs/deployment_optimization/fp16_profile/p30_direct/nsys/trtexec.nsys-rep
Processing [outputs/deployment_optimization/fp16_profile/p30_direct/nsys/trtexec.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]...
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
45.2,161374967,3571,45190.4,4989.0,3703,58198110,1362019.2,cudaLaunchKernel
17.3,61837475,750,82450.0,1802.5,914,3049030,319866.3,cudaEventSynchronize
5.3,18895229,57,331495.2,241493.0,51014,4883034,652170.8,cuModuleLoadData
5.1,18134041,3400,5333.5,4430.0,3137,95685,5113.4,cuLaunchKernel
5.0,17922820,1,17922820.0,17922820.0,17922820,17922820,0.0,cudaProfilerStop
3.8,13456086,8,1682010.8,398644.0,44008,6023065,2573107.2,cuLibraryUnload
3.2,11449980,23,497825.2,5356.0,3570,11318037,2358724.4,cudaMallocAsync_v11020
3.0,10652695,1800,5918.2,4925.0,3530,66699,4974.1,cuLaunchKernelEx
2.5,8916787,4,2229196.8,2230649.5,1593260,2862228,701433.7,cudaGetDeviceProperties_v2_v12000
2.3,8328112,76,109580.4,111792.5,8375,909024,138587.3,cuModuleUnload
2.1,7555725,28,269847.3,1429.0,845,6936073,1307910.3,cudaFree
1.2,4190522,2,2095261.0,2095261.0,1379423,2811099,1012347.8,cudaMallocHost
1.0,3487919,162,21530.4,8317.0,88,902894,71918.1,cudaMemcpyAsync
0.7,2571160,19,135324.2,99689.0,29352,427871,94727.9,cuModuleLoadFatBinary
0.7,2411301,362,6661.1,6077.5,2740,76918,6587.7,cudaEventRecord
0.5,1809365,2,904682.5,904682.5,580969,1228396,457800.0,cudaFreeHost
0.2,752534,1,752534.0,752534.0,752534,752534,0.0,cudaLaunchHostFunc_v10000
0.2,627902,3,209300.7,223444.0,130717,273741,72553.4,cudaMalloc
0.1,497454,9,55272.7,13507.0,3111,384611,123784.5,cudaStreamCreate
0.1,447394,396,1129.8,469.0,388,19087,1588.6,cudaEventCreateWithFlags
0.1,421977,164,2573.0,2403.0,943,7022,767.6,cudaStreamWaitEvent
0.1,341560,63,5421.6,437.0,225,41378,7900.6,cudaMemsetAsync
0.1,245902,396,621.0,407.0,313,7422,606.4,cudaEventDestroy
0.0,173573,7,24796.1,7479.0,2364,132005,47331.8,cudaStreamSynchronize
0.0,108035,9,12003.9,10902.0,4742,22929,6238.7,cudaStreamDestroy
0.0,87504,419,208.8,155.0,89,4426,243.1,cuGetProcAddress_v2
0.0,69594,2,34797.0,34797.0,21809,47785,18367.8,cuMemcpyDtoH_v2
0.0,65159,50,1303.2,1253.0,1104,2893,258.7,cudaStreamIsCapturing_v10000
0.0,47355,22,2152.5,1493.5,1274,6007,1278.5,cudaDeviceSynchronize
0.0,5534,1,5534.0,5534.0,5534,5534,0.0,cudaFreeAsync_v11020
0.0,4527,1,4527.0,4527.0,4527,4527,0.0,cudaProfilerStart
0.0,4260,1,4260.0,4260.0,4260,4260,0.0,cuInit
0.0,1495,3,498.3,541.0,204,750,275.5,cuModuleGetLoadingMode

Processing [outputs/deployment_optimization/fp16_profile/p30_direct/nsys/trtexec.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
11.6,16606755,2650,6266.7,5088.0,3008,24640,3229.7,generatedNativePointwise
8.0,11470598,400,28676.5,26992.0,21184,37056,5671.6,trt_volta_fp16x2_hcudnn_winograd_fp16x2_128x128_ldg1_ldg4_relu_tile148t_nt_v1
4.4,6301275,200,31506.4,28416.0,25312,40896,5224.1,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x2_g1_tensor16x8x8_execute_kernel_trt
4.3,6175296,100,61753.0,62464.0,56928,63103,1905.0,trt_turing_h1688cudnn_256x64_sliced1x2_ldg8_relu_exp_small_nhwc_linkable_tn_v1
4.1,5829794,350,16656.6,18080.0,3552,29856,7299.8,"void genericReformat::copyPackedKernel<__half, __half, (bool)1, (bool)1, genericReformat::IdentityCoordMapper<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
4.1,5815520,250,23262.1,23424.0,21375,24480,727.0,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x8_alignc4_execute_kernel_trt
3.5,4978535,150,33190.2,32672.0,29375,36352,2012.8,trt_turing_fp16x2_hcudnn_fp16x2_128x64_relu_interior_linkable_nn_v1
3.5,4934500,100,49345.0,47375.5,34496,63200,12116.6,trt_volta_fp16x2_hcudnn_fp16x2_128x64_relu_small_linkable_nn_v1
3.4,4855814,100,48558.1,46575.5,33472,62016,11999.2,trt_turing_fp16x2_hcudnn_fp16x2_128x32_relu_small_linkable_nn_v1
3.1,4486793,350,12819.4,12160.0,4992,27232,7436.7,"void genericReformat::copyPackedKernel<__half, __half, (bool)1, (bool)1, genericReformat::ArrayN<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
3.1,4424648,500,8849.3,6080.0,4448,20384,5494.6,"void genericReformat::copyPackedKernel<__half, __half, (bool)0, (bool)1, genericReformat::ArrayN<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
2.6,3738254,50,74765.1,75680.0,68288,76959,2554.8,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x8_alignc4_execute_kernel_trt
2.6,3725517,100,37255.2,37696.0,33728,41023,1253.6,trt_turing_h1688cudnn_256x64_ldg8_relu_exp_small_nhwc_linkable_tn_v1
2.5,3608430,100,36084.3,34655.0,24671,46784,9437.1,trt_turing_fp16x2_hcudnn_fp16x2_128x32_relu_interior_nn_v1
2.0,2902257,50,58045.1,58575.5,53887,59423,1641.7,volta_first_layer_filter3x3_fwd_execute_flt_k_16_kernel_trt
2.0,2900690,50,58013.8,58639.5,53632,59552,1786.2,trt_volta_fp16x2_hcudnn_fp16x2_128x32_relu_small_linkable_nn_v1
1.9,2722865,50,54457.3,54992.0,49887,56671,1757.8,trt_volta_fp16x2_hcudnn_fp16x2_128x32_relu_small_nn_v1
1.8,2642418,100,26424.2,26656.0,24256,27520,863.9,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x32_stage1_warpsize4x1x1_g1_tensor16x8x8
1.8,2593808,100,25938.1,25984.0,23712,26848,859.7,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x64x64_stage1_warpsize2x2x1_g1_tensor16x8x8
1.8,2562928,100,25629.3,24960.0,21824,27712,1568.1,trt_volta_s884cudnn_fp16_256x64_ldg8_relu_exp_interior_nhwc2nchw_tn_v1
1.8,2528402,100,25284.0,25455.5,23360,26207,776.8,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna4_alignc4_execute_kernel_trt
1.4,2053620,50,41072.4,41536.0,37856,42016,1227.1,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x32_stage1_warpsize4x1x1_g1_tensor16x8x8_t1r3s3_execute_kernel_trt
1.4,2023059,50,40461.2,40991.5,37215,41152,1264.5,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x64x64_stage1_warpsize2x2x1_g1_tensor16x8x8_t1r3s3_execute_kernel_trt
