name,layer_type,output_precision,output_formats
/model.22/Constant_12_output_0,Constant,FP32,Row major linear FP32
/model.22/Constant_13_output_0,Constant,FP32,Row major linear FP32
/model.22/Constant_15_output_0 + ONNXTRT_Broadcast_72,Constant,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.0/conv/Conv + PWN(PWN(/model.0/act/Sigmoid), PWN(/model.0/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.0/conv/Conv + PWN(PWN(/model.0/act/Sigmoid), PWN(/model.0/act/Mul))",CaskConvolution,INT8,Four wide channel vectorized row major Int8 format
"/model.1/conv/Conv + PWN(PWN(/model.1/act/Sigmoid), PWN(/model.1/act/Mul))",CaskConvolution,INT8,Four wide channel vectorized row major Int8 format
/model.2/cv0/conv/Conv || /model.2/cv1/conv/Conv,CaskConvolution,FP32,Row major linear FP32
"PWN(PWN(/model.2/cv0/act/Sigmoid), PWN(/model.2/cv0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"PWN(PWN(/model.2/cv1/act/Sigmoid), PWN(/model.2/cv1/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model.2/cv1/act/Sigmoid), PWN(/model.2/cv1/act/Mul))",NoOp,FP32,Row major linear FP32
Reformatting CopyNode for Input Tensor 0 to /model.2/m.0/cv1/conv/Conv,Reformat,INT8,Channel major INT8 format where channel % 16 == 0
/model.2/m.0/cv1/conv/Conv,CaskConvolution,INT8,Channel major INT8 format where channel % 16 == 0
"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/model.2/m.0/cv1/act/Sigmoid), PWN(/model.2/m.0/cv1/act/Mul))",Reformat,FP32,Channel major FP32 format
"PWN(PWN(/model.2/m.0/cv1/act/Sigmoid), PWN(/model.2/m.0/cv1/act/Mul))",PointWiseV2,FP32,Channel major FP32 format
Reformatting CopyNode for Input Tensor 0 to /model.2/m.0/cv2/conv/Conv,Reformat,INT8,Channel major INT8 format where channel % 16 == 0
/model.2/m.0/cv2/conv/Conv,CaskConvolution,INT8,Channel major INT8 format where channel % 16 == 0
"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(PWN(/model.2/m.0/cv2/act/Sigmoid), PWN(/model.2/m.0/cv2/act/Mul)), PWN(/model.2/m.0/Add))",Reformat,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(PWN(/model.2/m.0/cv2/act/Sigmoid), PWN(/model.2/m.0/cv2/act/Mul)), PWN(/model.2/m.0/Add))",NoOp,FP32,Row major linear FP32
"PWN(PWN(PWN(/model.2/m.0/cv2/act/Sigmoid), PWN(/model.2/m.0/cv2/act/Mul)), PWN(/model.2/m.0/Add))",PointWiseV2,FP32,Row major linear FP32
/model.2/cv1/act/Mul_output_0 copy,Reformat,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.2/cv2/conv/Conv + PWN(PWN(/model.2/cv2/act/Sigmoid), PWN(/model.2/cv2/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.2/cv2/conv/Conv + PWN(PWN(/model.2/cv2/act/Sigmoid), PWN(/model.2/cv2/act/Mul))",CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
"/model.3/conv/Conv + PWN(PWN(/model.3/act/Sigmoid), PWN(/model.3/act/Mul))",CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.4/cv0/conv/Conv || /model.4/cv1/conv/Conv,CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
Reformatting CopyNode for Output Tensor 0 to /model.4/cv0/conv/Conv || /model.4/cv1/conv/Conv,Reformat,FP32,Row major linear FP32
"PWN(PWN(/model.4/cv0/act/Sigmoid), PWN(/model.4/cv0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"PWN(PWN(/model.4/cv1/act/Sigmoid), PWN(/model.4/cv1/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model.4/cv1/act/Sigmoid), PWN(/model.4/cv1/act/Mul))",NoOp,FP32,Row major linear FP32
Reformatting CopyNode for Input Tensor 0 to /model.4/m.0/cv1/conv/Conv,Reformat,INT8,Channel major INT8 format where channel % 16 == 0
/model.4/m.0/cv1/conv/Conv,CaskConvolution,INT8,Channel major INT8 format where channel % 16 == 0
"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/model.4/m.0/cv1/act/Sigmoid), PWN(/model.4/m.0/cv1/act/Mul))",Reformat,FP32,Row major linear FP32
"PWN(PWN(/model.4/m.0/cv1/act/Sigmoid), PWN(/model.4/m.0/cv1/act/Mul))",PointWiseV2,FP32,Row major linear FP32
Reformatting CopyNode for Input Tensor 0 to /model.4/m.0/cv2/conv/Conv,Reformat,INT8,Channel major INT8 format where channel % 16 == 0
/model.4/m.0/cv2/conv/Conv,CaskConvolution,INT8,Channel major INT8 format where channel % 16 == 0
"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(PWN(/model.4/m.0/cv2/act/Sigmoid), PWN(/model.4/m.0/cv2/act/Mul)), PWN(/model.4/m.0/Add))",Reformat,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(PWN(/model.4/m.0/cv2/act/Sigmoid), PWN(/model.4/m.0/cv2/act/Mul)), PWN(/model.4/m.0/Add))",NoOp,FP32,Row major linear FP32
"PWN(PWN(PWN(/model.4/m.0/cv2/act/Sigmoid), PWN(/model.4/m.0/cv2/act/Mul)), PWN(/model.4/m.0/Add))",PointWiseV2,FP32,Row major linear FP32
Reformatting CopyNode for Input Tensor 0 to /model.4/m.1/cv1/conv/Conv,Reformat,INT8,Channel major INT8 format where channel % 16 == 0
/model.4/m.1/cv1/conv/Conv,CaskConvolution,INT8,Channel major INT8 format where channel % 16 == 0
"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/model.4/m.1/cv1/act/Sigmoid), PWN(/model.4/m.1/cv1/act/Mul))",Reformat,FP32,Row major linear FP32
"PWN(PWN(/model.4/m.1/cv1/act/Sigmoid), PWN(/model.4/m.1/cv1/act/Mul))",PointWiseV2,FP32,Row major linear FP32
Reformatting CopyNode for Input Tensor 0 to /model.4/m.1/cv2/conv/Conv,Reformat,INT8,Channel major INT8 format where channel % 16 == 0
/model.4/m.1/cv2/conv/Conv,CaskConvolution,INT8,Channel major INT8 format where channel % 16 == 0
"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(PWN(/model.4/m.1/cv2/act/Sigmoid), PWN(/model.4/m.1/cv2/act/Mul)), PWN(/model.4/m.1/Add))",Reformat,FP32,Row major linear FP32
"PWN(PWN(PWN(/model.4/m.1/cv2/act/Sigmoid), PWN(/model.4/m.1/cv2/act/Mul)), PWN(/model.4/m.1/Add))",PointWiseV2,FP32,Row major linear FP32
/model.4/cv1/act/Mul_output_0 copy,Reformat,FP32,Row major linear FP32
/model.4/m.0/Add_output_0 copy,Reformat,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.4/cv2/conv/Conv + PWN(PWN(/model.4/cv2/act/Sigmoid), PWN(/model.4/cv2/act/Mul))",NoOp,FP32,Row major linear FP32
"/model.4/cv2/conv/Conv + PWN(PWN(/model.4/cv2/act/Sigmoid), PWN(/model.4/cv2/act/Mul))",CaskConvolution,FP32,Row major linear FP32
"Reformatting CopyNode for Output Tensor 0 to /model.4/cv2/conv/Conv + PWN(PWN(/model.4/cv2/act/Sigmoid), PWN(/model.4/cv2/act/Mul))",Reformat,INT8,Row major Int8 format
"Reformatting CopyNode for Input Tensor 0 to /model.5/conv/Conv + PWN(PWN(/model.5/act/Sigmoid), PWN(/model.5/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.5/conv/Conv + PWN(PWN(/model.5/act/Sigmoid), PWN(/model.5/act/Mul))",CaskConvolution,INT8,Four wide channel vectorized row major Int8 format
/model.6/cv0/conv/Conv || /model.6/cv1/conv/Conv,CaskConvolution,FP32,Row major linear FP32
"PWN(PWN(/model.6/cv0/act/Sigmoid), PWN(/model.6/cv0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"PWN(PWN(/model.6/cv1/act/Sigmoid), PWN(/model.6/cv1/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model.6/cv1/act/Sigmoid), PWN(/model.6/cv1/act/Mul))",NoOp,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.6/m.0/cv1/conv/Conv + PWN(PWN(/model.6/m.0/cv1/act/Sigmoid), PWN(/model.6/m.0/cv1/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.6/m.0/cv1/conv/Conv + PWN(PWN(/model.6/m.0/cv1/act/Sigmoid), PWN(/model.6/m.0/cv1/act/Mul))",CaskConvolution,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 1 to /model.6/m.0/cv2/conv/Conv + PWN(PWN(PWN(/model.6/m.0/cv2/act/Sigmoid), PWN(/model.6/m.0/cv2/act/Mul)), PWN(/model.6/m.0/Add))",NoOp,FP32,Row major linear FP32
"/model.6/m.0/cv2/conv/Conv + PWN(PWN(PWN(/model.6/m.0/cv2/act/Sigmoid), PWN(/model.6/m.0/cv2/act/Mul)), PWN(/model.6/m.0/Add))",CaskConvolution,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.6/m.1/cv1/conv/Conv + PWN(PWN(/model.6/m.1/cv1/act/Sigmoid), PWN(/model.6/m.1/cv1/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.6/m.1/cv1/conv/Conv + PWN(PWN(/model.6/m.1/cv1/act/Sigmoid), PWN(/model.6/m.1/cv1/act/Mul))",CaskConvolution,FP32,Row major linear FP32
"/model.6/m.1/cv2/conv/Conv + PWN(PWN(PWN(/model.6/m.1/cv2/act/Sigmoid), PWN(/model.6/m.1/cv2/act/Mul)), PWN(/model.6/m.1/Add))",CaskConvolution,FP32,Row major linear FP32
/model.6/cv1/act/Mul_output_0 copy,Reformat,FP32,Row major linear FP32
/model.6/m.0/Add_output_0 copy,Reformat,FP32,Row major linear FP32
/model.6/m.1/Add_output_0 copy,Reformat,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.6/cv2/conv/Conv + PWN(PWN(/model.6/cv2/act/Sigmoid), PWN(/model.6/cv2/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.6/cv2/conv/Conv + PWN(PWN(/model.6/cv2/act/Sigmoid), PWN(/model.6/cv2/act/Mul))",CaskConvolution,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.7/conv/Conv + PWN(PWN(/model.7/act/Sigmoid), PWN(/model.7/act/Mul))",Reformat,INT8,Thirty-two wide channel vectorized row major Int8 format
"/model.7/conv/Conv + PWN(PWN(/model.7/act/Sigmoid), PWN(/model.7/act/Mul))",CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.8/cv0/conv/Conv || /model.8/cv1/conv/Conv,CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
Reformatting CopyNode for Output Tensor 0 to /model.8/cv0/conv/Conv || /model.8/cv1/conv/Conv,Reformat,FP32,Row major linear FP32
"PWN(PWN(/model.8/cv0/act/Sigmoid), PWN(/model.8/cv0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"PWN(PWN(/model.8/cv1/act/Sigmoid), PWN(/model.8/cv1/act/Mul))",PointWiseV2,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.8/m.0/cv1/conv/Conv + PWN(PWN(/model.8/m.0/cv1/act/Sigmoid), PWN(/model.8/m.0/cv1/act/Mul))",Reformat,INT8,Thirty-two wide channel vectorized row major Int8 format
"/model.8/m.0/cv1/conv/Conv + PWN(PWN(/model.8/m.0/cv1/act/Sigmoid), PWN(/model.8/m.0/cv1/act/Mul))",CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
/model.8/m.0/cv2/conv/Conv,CaskConvolution,INT8,Thirty-two wide channel vectorized row major Int8 format
"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(PWN(/model.8/m.0/cv2/act/Sigmoid), PWN(/model.8/m.0/cv2/act/Mul)), PWN(/model.8/m.0/Add))",Reformat,FP32,Row major linear FP32
"PWN(PWN(PWN(/model.8/m.0/cv2/act/Sigmoid), PWN(/model.8/m.0/cv2/act/Mul)), PWN(/model.8/m.0/Add))",PointWiseV2,FP32,Row major linear FP32
/model.8/cv1/act/Mul_output_0 copy,Reformat,FP32,Row major linear FP32
"Reformatting CopyNode for Input Tensor 0 to /model.8/cv2/conv/Conv + PWN(PWN(/model.8/cv2/act/Sigmoid), PWN(/model.8/cv2/act/Mul))",Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.8/cv2/conv/Conv + PWN(PWN(/model.8/cv2/act/Sigmoid), PWN(/model.8/cv2/act/Mul))",CaskConvolution,INT8,Four wide channel vectorized row major Int8 format
/model.9/cv1/conv/Conv,CaskConvolution,FP32,Row major linear FP32
/model.9/m/MaxPool,CaskPooling,FP32,Row major linear FP32
/model.9/m_1/MaxPool,CaskPooling,FP32,Row major linear FP32
/model.9/m_2/MaxPool,CaskPooling,FP32,Row major linear FP32
Reformatting CopyNode for Output Tensor 0 to /model.9/m_2/MaxPool,Reformat,INT8,Four wide channel vectorized row major Int8 format
/model.9/cv1/conv/Conv_output_0 copy,Reformat,INT8,Four wide channel vectorized row major Int8 format
/model.9/m/MaxPool_output_0 copy,Reformat,INT8,Four wide channel vectorized row major Int8 format
/model.9/m_1/MaxPool_output_0 copy,Reformat,INT8,Four wide channel vectorized row major Int8 format
"/model.9/cv2/conv/Conv + PWN(PWN(/model.9/cv2/act/Sigmoid), PWN(/model.9/cv2/act/Mul))",CaskConvolution,FP32,Row major linear FP32
/model.10/Resize,Resize,FP32,Row major linear FP32
/model.10/Resize_output_0 copy,Reformat,FP32,Row major linear FP32
/model.12/cv0/conv/Conv || /model.12/cv1/conv/Conv,CaskConvolution,FP32,Row major linear FP32
"PWN(PWN(/model.12/cv0/act/Sigmoid), PWN(/model.12/cv0/act/Mul))",PointWiseV2,FP32,Row major linear FP32
