layer,input_shape,output_shape,kernel,groups,precision,input_format,output_format,weight_type,tactic,suspected_fallback_reason
"model.0.conv.weight + /model.0/conv/weight_quantizer/QuantizeLinear + /model.0/conv/Conv + PWN(/model.0/act/Sigmoid, /model.0/act/Mul)",1x3x640x640,1x11x320x320,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_small_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.1.conv.weight + /model.1/conv/weight_quantizer/QuantizeLinear + /model.1/conv/Conv + PWN(/model.1/act/Sigmoid, /model.1/act/Mul)",1x11x320x320,1x22x160x160,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_small_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.2.cv0.conv.weight + /model.2/cv0/conv/weight_quantizer/QuantizeLinear + /model.2/cv0/conv/Conv + PWN(/model.2/cv0/act/Sigmoid, /model.2/cv0/act/Mul)",1x22x160x160,1x11x160x160,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_xregs_interior_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.2.cv1.conv.weight + /model.2/cv1/conv/weight_quantizer/QuantizeLinear + /model.2/cv1/conv/Conv + PWN(/model.2/cv1/act/Sigmoid, /model.2/cv1/act/Mul)",1x22x160x160,1x11x160x160,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_interior_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; SiLU output has no trailing Q in the explicit graph; Cout=11 is not divisible by 4, unfavorable for vectorized INT8"
model.2.m.0.cv1.conv.weight + /model.2/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.2/m.0/cv1/conv/Conv,1x11x160x160,1x11x160x160,3x3,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_small_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Cout=11 is not divisible by 4, unfavorable for vectorized INT8"
model.2.m.0.cv2.conv.weight + /model.2/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.2/m.0/cv2/conv/Conv,1x11x160x160,1x11x160x160,3x3,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_small_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Cout=11 is not divisible by 4, unfavorable for vectorized INT8"
"model.2.cv2.conv.weight + /model.2/cv2/conv/weight_quantizer/QuantizeLinear + /model.2/cv2/conv/Conv + PWN(/model.2/cv2/act/Sigmoid, /model.2/cv2/act/Mul)",1x33x160x160,1x22x160x160,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_interior_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.3.conv.weight + /model.3/conv/weight_quantizer/QuantizeLinear + /model.3/conv/Conv + PWN(/model.3/act/Sigmoid, /model.3/act/Mul)",1x22x160x160,1x44x80x80,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x64_relu_xregs_large_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.4.cv0.conv.weight + /model.4/cv0/conv/weight_quantizer/QuantizeLinear + /model.4/cv0/conv/Conv + PWN(/model.4/cv0/act/Sigmoid, /model.4/cv0/act/Mul)",1x44x80x80,1x22x80x80,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_xregs_interior_c32_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.4.cv1.conv.weight + /model.4/cv1/conv/weight_quantizer/QuantizeLinear + /model.4/cv1/conv/Conv,1x44x80x80,1x22x80x80,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_interior_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Cout=22 is not divisible by 4, unfavorable for vectorized INT8"
