epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8854,2.67875,5.04727,1.61638,0,0,0,0,4.01183,5.41635,1.728,0.000307692,0.000307692,0.0695385
2,19.7577,1.84729,2.82945,1.24274,0.00171,0.0176,4e-05,1e-05,4.73655,5.37779,2.47649,0.000628333,0.000628333,0.0365258
3,28.2564,1.61074,1.88805,1.1593,0.0044,0.04874,0.00116,0.00015,4.50679,4.58359,2.42632,0.000935774,0.000935774,0.00349988
4,36.8164,1.50407,1.52192,1.11204,0.0075,0.12465,0.00357,0.0005,4.18954,3.62289,2.47468,0.0009406,0.0009406,0.0009406
5,45.4627,1.48096,1.401,1.09623,0.06098,0.0829,0.02101,0.00314,3.68173,2.83415,2.02769,0.0009208,0.0009208,0.0009208
6,54.0721,1.34611,1.22272,1.04986,0.18892,0.15667,0.089,0.018,3.29495,2.53737,1.85278,0.000901,0.000901,0.000901
7,62.9694,1.43938,1.15772,1.07105,0.79349,0.67598,0.77202,0.35275,1.79924,1.43964,1.2601,0.0008812,0.0008812,0.0008812
8,71.7918,1.34566,1.07051,1.04783,0.77726,0.72734,0.76672,0.26295,2.1303,1.29749,1.36632,0.0008614,0.0008614,0.0008614
9,80.5824,1.28735,1.00625,1.02399,0.77285,0.70943,0.74217,0.25997,2.13885,1.31299,1.3782,0.0008416,0.0008416,0.0008416
10,89.3467,1.27999,0.98401,1.02449,0.86143,0.81486,0.89475,0.48342,1.52434,1.03121,1.1232,0.0008218,0.0008218,0.0008218
11,98.0576,1.25953,0.93472,1.00805,0.89816,0.83517,0.9108,0.61633,1.10278,0.91887,0.99346,0.000802,0.000802,0.000802
12,107.078,1.22424,0.88464,0.99796,0.87673,0.83963,0.91197,0.58104,1.23873,0.91483,1.0344,0.0007822,0.0007822,0.0007822
13,115.976,1.20561,0.85098,0.99777,0.88725,0.84077,0.92571,0.5591,1.31987,0.89993,1.05578,0.0007624,0.0007624,0.0007624
14,124.943,1.26485,0.90584,1.00865,0.86962,0.84296,0.93115,0.62847,1.10696,0.85035,1.00842,0.0007426,0.0007426,0.0007426
15,133.889,1.19498,0.84956,0.98321,0.90466,0.84356,0.91754,0.54662,1.30833,0.84428,1.04443,0.0007228,0.0007228,0.0007228
16,142.692,1.18613,0.83145,0.98601,0.92097,0.88832,0.95231,0.66521,1.04196,0.72532,0.97763,0.000703,0.000703,0.000703
17,151.542,1.14652,0.80268,0.96978,0.93207,0.90508,0.95486,0.63567,1.11893,0.72251,0.99577,0.0006832,0.0006832,0.0006832
18,160.285,1.16114,0.79464,0.97796,0.91598,0.88929,0.95092,0.6728,1.03223,0.69996,0.96953,0.0006634,0.0006634,0.0006634
19,169.125,1.14449,0.75795,0.97443,0.93977,0.90071,0.95631,0.67352,1.02762,0.68838,0.9683,0.0006436,0.0006436,0.0006436
20,177.657,1.19504,0.77402,0.9833,0.93765,0.90096,0.95942,0.68073,0.99237,0.66548,0.95447,0.0006238,0.0006238,0.0006238
21,186.366,1.10849,0.74677,0.95777,0.9439,0.90956,0.96138,0.677,1.0312,0.65975,0.96045,0.000604,0.000604,0.000604
22,195.118,1.148,0.74819,0.96966,0.943,0.90975,0.96288,0.64634,1.14764,0.68745,0.99131,0.0005842,0.0005842,0.0005842
23,204.069,1.17568,0.76192,0.97705,0.92546,0.90659,0.95632,0.62788,1.13359,0.66702,0.98972,0.0005644,0.0005644,0.0005644
24,212.938,1.12882,0.72742,0.95759,0.95095,0.90506,0.96147,0.71519,0.90473,0.61884,0.93117,0.0005446,0.0005446,0.0005446
25,221.511,1.08844,0.70582,0.9539,0.94205,0.90784,0.964,0.69608,0.9766,0.62296,0.95052,0.0005248,0.0005248,0.0005248
26,229.999,1.08037,0.69253,0.94966,0.95616,0.91161,0.96785,0.70237,0.98167,0.59974,0.95332,0.000505,0.000505,0.000505
27,238.663,1.08168,0.70074,0.94719,0.94463,0.92312,0.96457,0.70651,0.94803,0.5826,0.93724,0.0004852,0.0004852,0.0004852
28,247.091,1.07611,0.67987,0.95494,0.95018,0.9115,0.96266,0.6985,0.95032,0.60888,0.94317,0.0004654,0.0004654,0.0004654
29,255.499,1.10502,0.68827,0.95516,0.93106,0.90397,0.96057,0.68997,0.96506,0.61185,0.94291,0.0004456,0.0004456,0.0004456
30,264.237,1.0811,0.68887,0.94843,0.95699,0.91501,0.9709,0.72496,0.90024,0.57367,0.92867,0.0004258,0.0004258,0.0004258
31,273.033,1.07549,0.66759,0.94617,0.94919,0.91084,0.96874,0.69544,0.96707,0.58878,0.94125,0.000406,0.000406,0.000406
32,281.75,1.05296,0.6581,0.94369,0.94702,0.91737,0.96794,0.70011,0.94515,0.58361,0.93497,0.0003862,0.0003862,0.0003862
33,290.283,1.06262,0.65828,0.94285,0.95487,0.91831,0.97017,0.69684,0.95358,0.57304,0.93618,0.0003664,0.0003664,0.0003664
34,298.785,1.02659,0.64843,0.93704,0.95959,0.92038,0.97356,0.69166,0.97821,0.57341,0.93872,0.0003466,0.0003466,0.0003466
35,307.438,1.02917,0.64089,0.93367,0.94599,0.92373,0.97204,0.71607,0.93059,0.55482,0.92837,0.0003268,0.0003268,0.0003268
36,316.095,1.04819,0.64794,0.9362,0.94505,0.93974,0.97784,0.74188,0.85388,0.53156,0.91543,0.000307,0.000307,0.000307
37,324.725,1.04888,0.63833,0.94087,0.95311,0.92612,0.96931,0.58841,1.31976,0.62664,1.02483,0.0002872,0.0002872,0.0002872
38,333.358,1.02737,0.64075,0.94198,0.94931,0.93128,0.97306,0.68923,1.01217,0.55803,0.94206,0.0002674,0.0002674,0.0002674
39,342.128,1.01203,0.62727,0.93165,0.9441,0.94135,0.97716,0.73907,0.86102,0.51195,0.91555,0.0002476,0.0002476,0.0002476
40,350.85,1.01934,0.62014,0.92842,0.94739,0.92417,0.97246,0.72553,0.90855,0.52733,0.92443,0.0002278,0.0002278,0.0002278
