epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.98714,3.66045,5.59849,2.23557,0,0,0,0,3.84831,5.31888,1.77474,0.000307692,0.000307692,0.0695385
2,16.2202,2.58027,4.10475,1.55295,0.00025,0.02316,3e-05,0,3.57066,4.80332,1.95295,0.000628333,0.000628333,0.0365258
3,22.5676,2.06067,3.47499,1.29446,0.00787,0.04639,0.00085,0.00012,3.13729,4.52431,1.86083,0.000935774,0.000935774,0.00349988
4,29.2381,1.829,3.12504,1.20441,0.03979,0.64091,0.05864,0.01858,2.10599,3.79069,1.36884,0.0009406,0.0009406,0.0009406
5,36.2287,1.75886,2.89997,1.18009,0.02883,0.85566,0.11878,0.05688,1.70908,3.15705,1.22406,0.0009208,0.0009208,0.0009208
6,42.7622,1.68336,2.74849,1.15163,0.03627,0.87111,0.13056,0.06104,1.60293,2.93026,1.17575,0.000901,0.000901,0.000901
7,49.2599,1.65567,2.62846,1.14761,0.30939,0.18277,0.12775,0.05992,1.61158,2.88007,1.17612,0.0008812,0.0008812,0.0008812
8,55.6467,1.61963,2.50909,1.13651,0.31435,0.19924,0.14243,0.07102,1.49464,2.73117,1.12614,0.0008614,0.0008614,0.0008614
9,62.2641,1.60918,2.40665,1.13918,0.14702,0.25044,0.16662,0.09026,1.39763,2.50873,1.13881,0.0008416,0.0008416,0.0008416
10,69.0009,1.58468,2.33065,1.13302,0.17355,0.29238,0.18122,0.11398,1.35621,2.4556,1.13485,0.0008218,0.0008218,0.0008218
11,76.0657,1.58258,2.23665,1.12147,0.18761,0.37372,0.20472,0.1049,1.55192,2.46744,1.15308,0.000802,0.000802,0.000802
12,82.8838,1.56211,2.12557,1.1208,0.25784,0.39487,0.25045,0.15228,1.41421,2.29029,1.14871,0.0007822,0.0007822,0.0007822
13,89.8251,1.52337,2.01169,1.11438,0.28609,0.47717,0.27024,0.13979,1.44114,2.26397,1.12036,0.0007624,0.0007624,0.0007624
14,97.0139,1.59197,1.98725,1.13023,0.2767,0.53575,0.29215,0.16304,1.44254,2.14598,1.12171,0.0007426,0.0007426,0.0007426
15,104.331,1.50843,1.91007,1.10113,0.28726,0.60438,0.34337,0.22401,1.28998,1.8685,1.09169,0.0007228,0.0007228,0.0007228
16,115.901,1.51116,1.85867,1.10081,0.30189,0.57413,0.37141,0.22041,1.4874,1.82364,1.16528,0.000703,0.000703,0.000703
17,128.414,1.45645,1.79277,1.08935,0.33461,0.58598,0.37276,0.23455,1.35354,1.83793,1.11973,0.0006832,0.0006832,0.0006832
18,140.363,1.48154,1.71748,1.10148,0.41285,0.55607,0.4581,0.23749,1.70319,1.7946,1.26513,0.0006634,0.0006634,0.0006634
19,152.244,1.45733,1.6347,1.09193,0.44526,0.6419,0.53226,0.34051,1.2787,1.62997,1.07118,0.0006436,0.0006436,0.0006436
20,163.602,1.47353,1.60654,1.10053,0.48284,0.6302,0.54377,0.33764,1.31971,1.60326,1.08584,0.0006238,0.0006238,0.0006238
21,174.748,1.46647,1.59781,1.08595,0.48448,0.64157,0.54331,0.31939,1.44845,1.53209,1.13901,0.000604,0.000604,0.000604
22,186.42,1.41445,1.52794,1.07693,0.51293,0.67756,0.57438,0.34659,1.38164,1.44861,1.11978,0.0005842,0.0005842,0.0005842
23,197.671,1.44478,1.51722,1.08254,0.53271,0.66915,0.60346,0.37057,1.38081,1.42257,1.12091,0.0005644,0.0005644,0.0005644
24,208.76,1.40721,1.47421,1.06861,0.58294,0.69356,0.63532,0.41595,1.22851,1.35487,1.06404,0.0005446,0.0005446,0.0005446
25,219.445,1.38578,1.42882,1.06109,0.5986,0.70441,0.66334,0.39644,1.37196,1.32303,1.11905,0.0005248,0.0005248,0.0005248
26,229.724,1.36452,1.37422,1.05431,0.6237,0.67063,0.67821,0.4094,1.39748,1.32471,1.1207,0.000505,0.000505,0.000505
27,240.898,1.3717,1.3808,1.05196,0.65091,0.69392,0.70085,0.40459,1.4538,1.30727,1.12855,0.0004852,0.0004852,0.0004852
