epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.287,3.66045,5.59849,2.23557,0,0,0,0,3.84831,5.31888,1.77474,0.000307692,0.000307692,0.0695385
2,30.0097,2.57352,4.10174,1.55112,0.00091,0.03448,0.0001,1e-05,3.57761,4.80635,1.95536,0.000640869,0.000640869,0.0365383
3,39.8107,2.04705,3.45988,1.28492,0.00674,0.02806,0.0006,0.0001,3.04402,4.66138,1.82497,0.000973407,0.000973407,0.00353751
4,52.0458,1.82003,3.10758,1.19527,0.04482,0.54319,0.05881,0.01897,2.17239,3.8539,1.39798,0.000997803,0.000997803,0.000997803
5,63.458,1.7576,2.89182,1.17643,0.02221,0.68046,0.07735,0.03576,1.86306,3.37599,1.36852,0.000996097,0.000996097,0.000996097
6,75.1587,1.68003,2.72402,1.14893,0.0229,0.82708,0.10231,0.0493,1.65698,3.08599,1.25142,0.000993906,0.000993906,0.000993906
7,86.8003,1.66151,2.60215,1.15782,0.30789,0.16749,0.12724,0.05189,1.62689,2.84954,1.18863,0.000991232,0.000991232,0.000991232
8,97.9413,1.60602,2.47694,1.13438,0.15129,0.31217,0.16248,0.09695,1.35818,2.62526,1.11049,0.000988079,0.000988079,0.000988079
9,109.06,1.61861,2.3652,1.14297,0.17553,0.2325,0.1798,0.10858,1.31011,2.51327,1.07662,0.000984449,0.000984449,0.000984449
10,121.502,1.57379,2.27382,1.13586,0.19042,0.34593,0.19994,0.11655,1.34389,2.39985,1.10308,0.000980345,0.000980345,0.000980345
11,132.703,1.59197,2.16882,1.12986,0.1475,0.21763,0.10159,0.02378,2.5384,2.84,1.47606,0.000975773,0.000975773,0.000975773
12,144.278,1.55517,2.04283,1.12516,0.26986,0.50188,0.29044,0.1754,1.37693,2.10534,1.11991,0.000970736,0.000970736,0.000970736
13,155.71,1.52989,1.94691,1.12082,0.25623,0.46576,0.27123,0.12971,1.68813,2.28446,1.22499,0.000965239,0.000965239,0.000965239
14,166.134,1.59414,1.92207,1.13506,0.22573,0.47027,0.24085,0.10787,1.84225,2.17047,1.37111,0.000959289,0.000959289,0.000959289
15,177.31,1.52686,1.81189,1.11142,0.36087,0.57504,0.39484,0.20382,1.54431,1.8676,1.16232,0.000952889,0.000952889,0.000952889
16,188.155,1.52988,1.75587,1.11188,0.3772,0.61202,0.44926,0.28733,1.31554,1.69869,1.0992,0.000946048,0.000946048,0.000946048
17,200.032,1.4581,1.71015,1.0905,0.39401,0.56492,0.42953,0.24117,1.50383,1.74756,1.19474,0.000938772,0.000938772,0.000938772
18,211.092,1.48797,1.63312,1.10478,0.38827,0.49091,0.36183,0.10021,2.53328,2.10157,1.82778,0.000931067,0.000931067,0.000931067
19,221.996,1.45746,1.56389,1.09229,0.54064,0.59941,0.56358,0.28248,1.71755,1.57824,1.26397,0.000922942,0.000922942,0.000922942
