epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9485,3.66164,5.59835,2.2382,22.3886,0,0,0,0,3.88542,5.1811,1.72588,0,0.000307692,0.000307692,0.0695385
2,24.0586,2.60392,4.11737,1.56763,16.117,0.00028,0.0146,2e-05,0,3.39444,4.6878,1.92533,0,0.000628333,0.000628333,0.0365258
3,36.3946,2.05648,3.48763,1.30612,13.7499,0.01075,0.02604,0.00077,0.00015,2.95175,4.68707,1.76806,0,0.000935774,0.000935774,0.00349988
4,46.9455,1.85222,3.14859,1.22902,12.3884,0.03418,0.61421,0.06231,0.01865,2.16134,3.74417,1.40724,0,0.0009406,0.0009406,0.0009406
5,57.9193,1.76645,2.92604,1.19614,11.0745,0.02588,0.86927,0.13161,0.05661,1.73188,3.1436,1.2179,0,0.0009208,0.0009208,0.0009208
6,69.7619,1.69937,2.7515,1.17275,10.0996,0.33463,0.14075,0.14743,0.06827,1.70303,2.8606,1.24373,0,0.000901,0.000901,0.000901
7,81.2007,1.70901,2.62902,1.18014,9.29574,0.31986,0.27221,0.17722,0.09334,1.5358,2.66746,1.17642,0,0.0008812,0.0008812,0.0008812
8,92.2308,1.65899,2.49438,1.16623,8.64631,0.32548,0.28858,0.17026,0.07733,1.70097,2.6436,1.24077,0,0.0008614,0.0008614,0.0008614
9,104.07,1.64441,2.3688,1.16087,8.18837,0.19467,0.41573,0.21366,0.11177,1.48975,2.3894,1.19094,0,0.0008416,0.0008416,0.0008416
10,115.533,1.62695,2.23131,1.16094,7.6647,0.24378,0.45003,0.28009,0.14304,1.4572,2.30031,1.14032,0,0.0008218,0.0008218,0.0008218
11,127.077,1.6166,2.11721,1.14357,7.3508,0.24488,0.48453,0.28586,0.17604,1.4106,2.15066,1.1381,0,0.000802,0.000802,0.000802
12,138.024,1.58134,2.00336,1.13163,7.08515,0.27312,0.58011,0.32027,0.19245,1.36177,2.01792,1.11113,0,0.0007822,0.0007822,0.0007822
13,149.545,1.56854,1.92487,1.13176,6.80895,0.29707,0.50458,0.30461,0.09455,2.00449,2.19807,1.34271,0,0.0007624,0.0007624,0.0007624
14,161.075,1.61364,1.90009,1.13496,6.75124,0.30641,0.59965,0.37308,0.19035,1.62837,1.96256,1.25334,0,0.0007426,0.0007426,0.0007426
15,172.373,1.54562,1.80984,1.11345,6.48421,0.36478,0.6284,0.45987,0.29193,1.30559,1.74291,1.0981,0,0.0007228,0.0007228,0.0007228
16,183.031,1.48608,1.73229,1.09583,6.30133,0.42398,0.59343,0.45663,0.28765,1.32136,1.72201,1.093,0,0.000703,0.000703,0.000703
17,193.609,1.4797,1.6746,1.09577,6.13785,0.45349,0.63211,0.50359,0.30105,1.3598,1.66191,1.10782,0,0.0006832,0.0006832,0.0006832
18,204.797,1.46179,1.60239,1.09723,5.96579,0.45149,0.63332,0.49627,0.27592,1.55724,1.70595,1.19048,0,0.0006634,0.0006634,0.0006634
19,216.62,1.43486,1.54277,1.08802,5.78136,0.49182,0.63279,0.5514,0.34223,1.32734,1.56674,1.08685,0,0.0006436,0.0006436,0.0006436
20,227.961,1.47055,1.53122,1.09746,5.72463,0.52796,0.66878,0.59892,0.38556,1.2533,1.49886,1.07057,0,0.0006238,0.0006238,0.0006238
21,239.773,1.43617,1.50918,1.07957,5.61755,0.56557,0.70065,0.62597,0.38944,1.35526,1.40439,1.10042,0,0.000604,0.000604,0.000604
22,250.753,1.42419,1.47209,1.08078,5.50463,0.53689,0.71642,0.61238,0.37834,1.31073,1.4144,1.08514,0,0.0005842,0.0005842,0.0005842
23,262.369,1.42733,1.46096,1.07931,5.42897,0.54537,0.68124,0.61223,0.40672,1.18001,1.41429,1.04506,0,0.0005644,0.0005644,0.0005644
24,273.516,1.3908,1.41483,1.0617,5.37904,0.57622,0.72813,0.65905,0.44917,1.15235,1.33258,1.03225,0,0.0005446,0.0005446,0.0005446
25,284.95,1.37,1.37818,1.05978,5.20316,0.58442,0.70718,0.66653,0.41886,1.27487,1.34921,1.08351,0,0.0005248,0.0005248,0.0005248
26,296.23,1.33794,1.32344,1.04467,5.05801,0.60782,0.72226,0.69504,0.4635,1.18531,1.30198,1.03929,0,0.000505,0.000505,0.000505
27,307.422,1.36308,1.34265,1.05099,4.99724,0.68473,0.71883,0.73614,0.46727,1.24738,1.24888,1.06502,0,0.0004852,0.0004852,0.0004852
28,318.738,1.31703,1.25956,1.04671,4.84515,0.69474,0.72954,0.75297,0.50364,1.13117,1.18426,1.02246,0,0.0004654,0.0004654,0.0004654
29,329.876,1.36671,1.25978,1.05699,4.82873,0.715,0.76274,0.78627,0.53007,1.13334,1.145,1.02027,0,0.0004456,0.0004456,0.0004456
30,340.498,1.34296,1.25329,1.0499,4.74619,0.71974,0.75583,0.7962,0.52617,1.15889,1.15658,1.02224,0,0.0004258,0.0004258,0.0004258
31,352.147,1.28666,1.18795,1.03039,4.53679,0.70454,0.73567,0.77572,0.41547,1.56275,1.20736,1.18629,0,0.000406,0.000406,0.000406
32,363.378,1.31692,1.19254,1.03939,4.4974,0.74117,0.75867,0.82133,0.54145,1.18872,1.10839,1.03499,0,0.0003862,0.0003862,0.0003862
33,375.757,1.32548,1.17673,1.0441,4.47526,0.77717,0.76974,0.83784,0.55565,1.16837,1.06635,1.03063,0,0.0003664,0.0003664,0.0003664
34,387.293,1.28847,1.14509,1.03149,4.35823,0.83145,0.7639,0.86395,0.60295,1.07114,0.99912,1.00247,0,0.0003466,0.0003466,0.0003466
35,397.292,1.25834,1.1136,1.02493,4.27597,0.84036,0.76061,0.86582,0.56178,1.21341,1.00371,1.04724,0,0.0003268,0.0003268,0.0003268
36,406.802,1.30847,1.10266,1.03085,4.29761,0.83032,0.79117,0.87791,0.57055,1.16103,0.99642,1.0205,0,0.000307,0.000307,0.000307
37,414.949,1.29708,1.09137,1.03081,4.20331,0.82503,0.80549,0.88061,0.59836,1.12344,0.95104,1.01586,0,0.0002872,0.0002872,0.0002872
38,423.145,1.28102,1.08803,1.03579,4.18293,0.86611,0.77272,0.88217,0.59147,1.15231,0.94023,1.02611,0,0.0002674,0.0002674,0.0002674
39,431.415,1.27306,1.05921,1.02661,4.11917,0.85276,0.79879,0.88505,0.56713,1.23439,0.9635,1.04909,0,0.0002476,0.0002476,0.0002476
40,439.551,1.28077,1.03828,1.02399,4.09941,0.89,0.7979,0.88809,0.53373,1.35629,0.9649,1.08987,0,0.0002278,0.0002278,0.0002278
41,449.668,1.17141,0.94873,1.03731,3.8942,0.88946,0.79325,0.89379,0.60427,1.11229,0.91118,1.01567,0,0.000208,0.000208,0.000208
42,457.891,1.17744,0.92389,1.03585,3.78972,0.8575,0.8069,0.90033,0.63497,1.04581,0.88802,0.99101,0,0.0001882,0.0001882,0.0001882
43,465.92,1.13934,0.89762,1.02876,3.72134,0.88355,0.81386,0.9001,0.63773,1.03074,0.8749,0.984,0,0.0001684,0.0001684,0.0001684
44,473.987,1.13301,0.89489,1.03257,3.72213,0.88122,0.80925,0.902,0.62086,1.08404,0.89271,1.00121,0,0.0001486,0.0001486,0.0001486
45,482.029,1.14498,0.87473,1.02455,3.65354,0.87952,0.80196,0.89985,0.63311,1.04469,0.88555,0.99042,0,0.0001288,0.0001288,0.0001288
46,490.011,1.13597,0.86017,1.0269,3.65017,0.85543,0.83513,0.90366,0.63717,1.0347,0.87384,0.98277,0,0.000109,0.000109,0.000109
47,497.987,1.1127,0.85364,1.02139,3.58689,0.87534,0.82725,0.90931,0.62739,1.07729,0.87658,0.99094,0,8.92e-05,8.92e-05,8.92e-05
48,506.413,1.10515,0.84297,1.0187,3.56776,0.89685,0.81333,0.90764,0.63247,1.04568,0.84004,0.99019,0,6.94e-05,6.94e-05,6.94e-05
49,514.439,1.09781,0.83422,1.01283,3.55937,0.89845,0.82156,0.91028,0.65358,1.00092,0.83459,0.97474,0,4.96e-05,4.96e-05,4.96e-05
50,522.371,1.11075,0.83393,1.01414,3.55506,0.89463,0.82755,0.9129,0.65985,0.98583,0.8129,0.97299,0,2.98e-05,2.98e-05,2.98e-05
