epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9308,3.66164,5.59835,2.2382,22.3886,0,0,0,0,3.88542,5.1811,1.72588,0,0.000307692,0.000307692,0.0695385
2,26.9619,2.60511,4.11507,1.56801,16.1133,0.00025,0.01189,1e-05,0,3.38406,4.68825,1.9166,0,0.000640869,0.000640869,0.0365383
3,38.817,2.05697,3.47558,1.30539,13.7087,0.01343,0.03732,0.00116,0.00024,2.91079,4.60178,1.74558,0,0.000973407,0.000973407,0.00353751
4,50.1295,1.83766,3.10883,1.22633,12.2046,0.03668,0.66018,0.08309,0.02433,2.12684,3.70236,1.37407,0,0.000997803,0.000997803,0.000997803
5,61.922,1.78889,2.90294,1.20325,10.9285,0.0251,0.89241,0.14178,0.06866,1.69631,3.01398,1.20536,0,0.000996097,0.000996097,0.000996097
6,72.9799,1.7094,2.73457,1.17521,9.95669,0.31184,0.17115,0.13145,0.05674,1.80601,2.84868,1.28328,0,0.000993906,0.000993906,0.000993906
7,84.2093,1.706,2.62279,1.18252,9.19317,0.30101,0.32778,0.17249,0.08825,1.52437,2.64196,1.17655,0,0.000991232,0.000991232,0.000991232
8,95.7539,1.65757,2.48845,1.1618,8.54142,0.31954,0.36823,0.19922,0.10749,1.48166,2.47729,1.16362,0,0.000988079,0.000988079,0.000988079
9,107.115,1.65522,2.3671,1.16446,8.12247,0.18918,0.46972,0.2064,0.10536,1.53551,2.33797,1.2196,0,0.000984449,0.000984449,0.000984449
10,118.205,1.64143,2.22808,1.16237,7.5943,0.23074,0.45319,0.27346,0.14887,1.43897,2.28917,1.13381,0,0.000980345,0.000980345,0.000980345
11,129.52,1.61582,2.0948,1.13964,7.25521,0.26272,0.50402,0.29514,0.14206,1.56161,2.18944,1.17423,0,0.000975773,0.000975773,0.000975773
12,140.978,1.57812,1.98297,1.13031,6.99218,0.27546,0.55436,0.32775,0.18046,1.41704,2.0248,1.12991,0,0.000970736,0.000970736,0.000970736
13,152.195,1.55917,1.90954,1.12692,6.70155,0.22516,0.41798,0.21373,0.05914,2.27788,2.44783,1.47819,0,0.000965239,0.000965239,0.000965239
