epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7638,3.66468,5.59853,2.23818,37.3122,0,0,0,0,3.86398,5.13817,1.71385,0,0.000307692,0.000307692,0.0695385
2,24.9804,2.62319,4.11026,1.55711,26.8361,0,0,0,0,3.14248,4.72683,2.07153,0,0.000640869,0.000640869,0.0365383
3,36.023,2.08801,3.48196,1.29968,22.7634,0.02041,0.0457,0.00327,0.00067,2.71822,4.33485,1.74131,0,0.000973407,0.000973407,0.00353751
4,47.1659,1.87591,3.15013,1.22342,20.2278,0.02491,0.74841,0.07595,0.02617,2.05358,3.51448,1.34127,0,0.000997803,0.000997803,0.000997803
5,58.526,1.79709,2.91232,1.20359,18.0391,0.02057,0.73177,0.07535,0.01901,2.28201,3.40208,1.39686,0,0.000996097,0.000996097,0.000996097
6,69.6627,1.73946,2.7458,1.18398,16.4575,0.31945,0.14639,0.12078,0.03865,1.92964,3.03082,1.30467,0,0.000993906,0.000993906,0.000993906
7,81.6605,1.7235,2.60593,1.19127,15.1917,0.31192,0.22229,0.14976,0.05622,1.86063,2.9151,1.29363,0,0.000991232,0.000991232,0.000991232
8,92.6408,1.67305,2.45871,1.17413,14.0391,0.1699,0.40131,0.21309,0.11209,1.56656,2.50763,1.19154,0,0.000988079,0.000988079,0.000988079
9,104.858,1.67264,2.32156,1.1686,13.2944,0.18615,0.49594,0.25709,0.15005,1.46431,2.26883,1.16326,0,0.000984449,0.000984449,0.000984449
10,116.151,1.66347,2.19926,1.16969,12.4447,0.24588,0.51061,0.30199,0.16844,1.41882,2.18989,1.13553,0,0.000980345,0.000980345,0.000980345
11,127.221,1.64016,2.08221,1.15126,11.9493,0.27111,0.47891,0.29999,0.12678,1.777,2.22038,1.26675,0,0.000975773,0.000975773,0.000975773
12,139.479,1.58132,1.95095,1.13537,11.4207,0.30994,0.572,0.36578,0.15154,1.74494,2.0453,1.24716,0,0.000970736,0.000970736,0.000970736
