epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5684,1.55264,2.01388,1.07741,0.72422,0.08634,0.03964,0.01957,1.76441,4.44276,1.1958,0.000307692,0.000307692,0.0695385
2,21.6419,1.23013,0.94704,0.98798,0.22874,0.43184,0.18602,0.05429,2.17782,4.05011,1.3578,0.000628333,0.000628333,0.0365258
3,30.8675,1.13435,0.78013,0.96002,0.72513,0.64854,0.69379,0.31349,1.79439,1.6485,1.18696,0.000935774,0.000935774,0.00349988
4,40.1681,1.15557,0.75593,0.96968,0.86284,0.77793,0.84804,0.36881,1.81981,1.1398,1.19681,0.0009406,0.0009406,0.0009406
5,49.7108,1.19049,0.75075,0.97326,0.94634,0.87393,0.94445,0.66492,1.03088,0.7338,0.95297,0.0009208,0.0009208,0.0009208
6,59.1334,1.07749,0.69967,0.94208,0.90917,0.89409,0.94942,0.58884,1.29393,0.71739,1.0283,0.000901,0.000901,0.000901
7,68.5388,1.22409,0.75347,0.98036,0.9222,0.87589,0.94493,0.65525,1.06435,0.7249,0.96364,0.0008812,0.0008812,0.0008812
8,77.7209,1.14657,0.7318,0.96637,0.9353,0.90917,0.96529,0.63665,1.17125,0.62901,1.00882,0.0008614,0.0008614,0.0008614
9,86.8211,1.09458,0.6841,0.94989,0.91796,0.8903,0.93677,0.67225,0.97843,0.63984,0.94219,0.0008416,0.0008416,0.0008416
10,95.9407,1.1222,0.70045,0.96311,0.92611,0.90795,0.95781,0.69138,0.97076,0.60979,0.94538,0.0008218,0.0008218,0.0008218
11,105.125,1.06846,0.66941,0.94178,0.9303,0.90818,0.9565,0.61583,1.17537,0.67712,0.99492,0.000802,0.000802,0.000802
12,114.442,1.04759,0.65527,0.93957,0.93966,0.91423,0.96729,0.6988,0.97691,0.58754,0.93874,0.0007822,0.0007822,0.0007822
13,123.983,1.01924,0.63679,0.93563,0.91744,0.84093,0.91244,0.48158,1.5744,0.80597,1.11985,0.0007624,0.0007624,0.0007624
14,133.452,1.06961,0.65628,0.94243,0.92917,0.8802,0.92949,0.47752,1.63498,0.75465,1.14314,0.0007426,0.0007426,0.0007426
15,142.895,1.04118,0.63111,0.93096,0.93864,0.9135,0.9668,0.72133,0.87811,0.56218,0.91485,0.0007228,0.0007228,0.0007228
16,152.054,1.03603,0.63088,0.93381,0.95364,0.92637,0.97074,0.72943,0.89554,0.54833,0.92075,0.000703,0.000703,0.000703
17,161.217,0.99955,0.60755,0.92518,0.93782,0.91064,0.9648,0.6465,1.13784,0.57904,0.9744,0.0006832,0.0006832,0.0006832
18,170.381,1.03279,0.61735,0.93397,0.94976,0.92464,0.97593,0.7079,0.97798,0.55327,0.94921,0.0006634,0.0006634,0.0006634
19,179.583,1.01509,0.59376,0.93162,0.9479,0.91507,0.9693,0.59816,1.30078,0.64153,1.02095,0.0006436,0.0006436,0.0006436
20,188.984,1.06465,0.6104,0.94292,0.90152,0.93374,0.96702,0.52129,1.49999,0.75236,1.13207,0.0006238,0.0006238,0.0006238
21,198.464,0.98819,0.5846,0.92329,0.95951,0.94192,0.97603,0.61485,1.28539,0.59496,1.01863,0.000604,0.000604,0.000604
22,208.049,1.01232,0.58656,0.92711,0.96612,0.91943,0.9713,0.55319,1.48675,0.63979,1.10191,0.0005842,0.0005842,0.0005842
23,217.257,1.04844,0.60592,0.93524,0.94761,0.94028,0.97668,0.71525,0.939,0.52075,0.92839,0.0005644,0.0005644,0.0005644
24,226.153,0.99633,0.577,0.91889,0.95703,0.94953,0.97935,0.72232,0.95462,0.49525,0.92786,0.0005446,0.0005446,0.0005446
25,235.437,0.96159,0.55852,0.9172,0.96294,0.93247,0.9783,0.65375,1.09516,0.53655,0.9672,0.0005248,0.0005248,0.0005248
26,244.568,0.94543,0.54973,0.91064,0.96935,0.94313,0.98118,0.75609,0.83975,0.47481,0.90682,0.000505,0.000505,0.000505
27,253.885,0.96455,0.56567,0.91209,0.96633,0.93354,0.97975,0.72267,0.9219,0.50546,0.92172,0.0004852,0.0004852,0.0004852
28,263.016,0.94127,0.54692,0.91682,0.96152,0.9289,0.97517,0.71963,0.89423,0.5024,0.91541,0.0004654,0.0004654,0.0004654
29,272.304,0.95304,0.55341,0.91228,0.96793,0.93486,0.97706,0.69024,1.00069,0.52521,0.9367,0.0004456,0.0004456,0.0004456
30,281.713,0.94283,0.54491,0.9122,0.94738,0.94508,0.97891,0.76112,0.82049,0.47024,0.90294,0.0004258,0.0004258,0.0004258
31,290.957,0.93828,0.53325,0.90798,0.97207,0.93751,0.98116,0.72917,0.90003,0.47681,0.91822,0.000406,0.000406,0.000406
32,300.22,0.92216,0.52511,0.90702,0.97221,0.94558,0.98138,0.69502,1.03114,0.48956,0.94551,0.0003862,0.0003862,0.0003862
33,309.372,0.94106,0.52872,0.91039,0.97415,0.94504,0.984,0.77527,0.7781,0.43144,0.89124,0.0003664,0.0003664,0.0003664
34,318.645,0.91102,0.52356,0.9045,0.95651,0.95411,0.97958,0.76216,0.81976,0.45175,0.89798,0.0003466,0.0003466,0.0003466
35,327.933,0.89189,0.5112,0.90043,0.96934,0.95458,0.98161,0.7458,0.8844,0.45589,0.91467,0.0003268,0.0003268,0.0003268
36,337.374,0.93143,0.52255,0.9061,0.97048,0.95032,0.98267,0.71497,0.95974,0.47734,0.92582,0.000307,0.000307,0.000307
37,346.812,0.91886,0.51463,0.90577,0.97142,0.95187,0.98327,0.75663,0.83524,0.43881,0.90315,0.0002872,0.0002872,0.0002872
38,355.977,0.90943,0.51871,0.90778,0.97494,0.93833,0.98083,0.6703,1.07025,0.50757,0.952,0.0002674,0.0002674,0.0002674
39,365.168,0.89459,0.50876,0.89886,0.97188,0.95361,0.98449,0.77668,0.78528,0.42766,0.89026,0.0002476,0.0002476,0.0002476
40,374.446,0.89406,0.50503,0.89751,0.97117,0.95724,0.98277,0.73098,0.92919,0.45131,0.9195,0.0002278,0.0002278,0.0002278
41,386.243,0.81297,0.44005,0.89822,0.95287,0.95177,0.97816,0.70366,0.98537,0.47723,0.93521,0.000208,0.000208,0.000208
42,395.588,0.85978,0.44808,0.90567,0.96818,0.94399,0.98145,0.75956,0.80968,0.43817,0.89578,0.0001882,0.0001882,0.0001882
43,404.625,0.82488,0.43092,0.90155,0.96515,0.95705,0.98275,0.77746,0.77448,0.42475,0.8888,0.0001684,0.0001684,0.0001684
44,413.735,0.80718,0.42131,0.90099,0.98332,0.93559,0.9821,0.7414,0.88085,0.44322,0.91083,0.0001486,0.0001486,0.0001486
45,422.816,0.81639,0.4222,0.89565,0.97798,0.94318,0.98161,0.73434,0.88369,0.44065,0.91048,0.0001288,0.0001288,0.0001288
46,431.88,0.80863,0.41553,0.89764,0.9782,0.94698,0.98266,0.75916,0.83259,0.4209,0.90243,0.000109,0.000109,0.000109
47,440.841,0.79678,0.41603,0.89494,0.9756,0.94799,0.98152,0.7396,0.87836,0.43409,0.90905,8.92e-05,8.92e-05,8.92e-05
48,449.74,0.77354,0.40214,0.89067,0.97082,0.94992,0.98093,0.76174,0.81949,0.41532,0.89647,6.94e-05,6.94e-05,6.94e-05
49,458.69,0.78366,0.40421,0.88864,0.97403,0.95306,0.9822,0.76714,0.806,0.41276,0.89446,4.96e-05,4.96e-05,4.96e-05
50,467.602,0.77019,0.3969,0.88728,0.97524,0.95386,0.9822,0.76952,0.79348,0.40744,0.89185,2.98e-05,2.98e-05,2.98e-05
