epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4135,1.04001,0.60368,0.92933,0.94004,0.89939,0.94723,0.54004,1.28423,1.07839,1.06535,0.000307692,0.000307692,0.0695385
2,20.6497,1.04581,0.6851,0.93682,0.94048,0.92311,0.95565,0.58011,1.24526,0.74758,1.03824,0.000628333,0.000628333,0.0365258
3,29.9856,1.01224,0.63428,0.93561,0.92982,0.89611,0.95015,0.57987,1.27787,0.82118,1.05015,0.000935774,0.000935774,0.00349988
4,39.6074,1.0185,0.62008,0.93917,0.92678,0.88967,0.9573,0.65898,1.03241,0.69024,0.95798,0.0009406,0.0009406,0.0009406
5,53.6023,1.0978,0.65425,0.95154,0.95468,0.91404,0.9664,0.66836,1.05895,0.60907,0.96269,0.0009208,0.0009208,0.0009208
6,71.6512,1.01793,0.60935,0.93187,0.88583,0.83116,0.87488,0.37458,1.88546,0.8516,1.23623,0.000901,0.000901,0.000901
7,82.1678,1.17274,0.67276,0.96563,0.93711,0.91925,0.96115,0.57628,1.28784,0.65147,1.03945,0.0008812,0.0008812,0.0008812
8,91.8081,1.12455,0.66131,0.95975,0.87156,0.89471,0.926,0.46405,1.52927,0.93035,1.09969,0.0008614,0.0008614,0.0008614
9,101.328,1.04364,0.61995,0.93798,0.9358,0.93037,0.97285,0.59808,1.3333,0.6068,1.04981,0.0008416,0.0008416,0.0008416
10,110.574,1.07145,0.62086,0.94806,0.95209,0.90534,0.96007,0.50768,1.5903,0.7133,1.11008,0.0008218,0.0008218,0.0008218
11,120.351,1.03409,0.61511,0.93175,0.95642,0.91082,0.96559,0.62564,1.14953,0.5824,0.98145,0.000802,0.000802,0.000802
12,130.04,1.00539,0.59035,0.92923,0.90601,0.91247,0.95539,0.63461,1.14551,0.63382,0.99803,0.0007822,0.0007822,0.0007822
