epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7188,1.60726,2.15479,1.09279,0.22615,0.45799,0.0981,0.0505,1.77513,4.15941,1.23154,0.000307692,0.000307692,0.000307692
2,21.8325,1.1975,0.92535,0.97912,0.21643,0.74854,0.38439,0.2478,1.30301,2.916,1.09109,0.000628333,0.000628333,0.000628333
3,31.1033,1.12095,0.78702,0.95701,0.70289,0.67843,0.73636,0.48736,1.18393,1.54872,1.02419,0.000935774,0.000935774,0.000935774
4,40.3635,1.09227,0.72989,0.95403,0.89146,0.86909,0.94067,0.65334,1.03002,0.82121,0.95112,0.0009406,0.0009406,0.0009406
5,49.7505,1.16408,0.74304,0.96462,0.91636,0.87216,0.92514,0.51246,1.49891,0.81715,1.08962,0.0009208,0.0009208,0.0009208
6,59.3761,1.06873,0.69608,0.94098,0.89382,0.91119,0.95904,0.60767,1.22073,0.6917,1.027,0.000901,0.000901,0.000901
7,68.6146,1.17415,0.72809,0.96729,0.94702,0.89925,0.96326,0.67793,1.02118,0.66763,0.95839,0.0008812,0.0008812,0.0008812
8,77.7958,1.17349,0.72546,0.97159,0.92038,0.8951,0.95796,0.62814,1.13752,0.67933,0.98346,0.0008614,0.0008614,0.0008614
9,86.9929,1.06294,0.66395,0.93976,0.92449,0.92672,0.96099,0.62243,1.17968,0.64408,0.98699,0.0008416,0.0008416,0.0008416
10,96.1449,1.07178,0.67275,0.94971,0.95559,0.90797,0.96832,0.68792,0.99159,0.5992,0.94451,0.0008218,0.0008218,0.0008218
11,105.316,1.08122,0.68306,0.94098,0.93183,0.91056,0.96391,0.64661,1.13676,0.64075,0.97924,0.000802,0.000802,0.000802
12,114.785,1.07172,0.66074,0.94276,0.82371,0.82325,0.88884,0.57638,1.21974,0.88272,1.00496,0.0007822,0.0007822,0.0007822
13,124.273,1.02849,0.63815,0.93649,0.9,0.87302,0.94631,0.61339,1.21397,0.72416,1.01332,0.0007624,0.0007624,0.0007624
14,133.884,1.05619,0.65311,0.93945,0.9542,0.89418,0.95795,0.66486,1.05328,0.61306,0.96672,0.0007426,0.0007426,0.0007426
