epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_loss,gated/lambda1,gated/lambda2
1,20.3427,1.02362,0.68534,0.9328,17.5849,0.75091,0.82171,0.87409,0.30625,2.17596,2.76098,1.48696,0,6.4e-05,6.4e-05,0.068064,0.0064,-0.0064,0.02,0.00407002,0.00114802,-0.077331,0.0773256
2,36.0877,1.00125,0.65673,0.92323,13.7314,0.94973,0.90801,0.97075,0.72257,0.82559,0.65746,0.896,0,0.000129373,0.000129373,0.034796,0.0129373,-0.0129373,0.04,0.00410927,0.00974805,-0.277778,0.281334
3,51.6417,0.99521,0.64846,0.92461,12.7152,0.96844,0.93597,0.97944,0.70395,0.9301,0.53935,0.91632,0,0.000193426,0.000193426,0.00152676,0.0193426,-0.0193426,0.06,0.00411987,0.0301974,-0.536558,0.560991
4,67.691,0.98278,0.63817,0.92304,11.4806,0.95558,0.95288,0.97983,0.73643,0.84168,0.52381,0.89795,0,0.00019406,0.00019406,0.00019406,0.019406,-0.019406,0.08,0.00413807,0.0715663,-0.900688,0.965469
5,85.1016,1.01666,0.65396,0.93098,10.5878,0.96728,0.96128,0.98306,0.74812,0.80701,0.49324,0.89991,0,0.00019208,0.00019208,0.00019208,0.019208,-0.019208,0.1,0.00419686,0.129057,-1.24891,1.35993
6,101.407,0.98817,0.62854,0.92857,9.52551,0.96776,0.95445,0.984,0.73903,0.81107,0.49554,0.89559,0,0.0001901,0.0001901,0.0001901,0.01901,-0.01901,0.1,0.00434182,0.16758,-1.61268,1.76682
7,117.756,0.98618,0.6339,0.93168,8.52217,0.95998,0.957,0.98191,0.74537,0.81423,0.49978,0.89933,0,0.00018812,0.00018812,0.00018812,0.018812,-0.018812,0.1,0.00459117,0.200405,-1.92671,2.11022
8,134.318,0.99076,0.64417,0.92909,7.75798,0.97004,0.96321,0.98448,0.75437,0.79782,0.47279,0.89342,0,0.00018614,0.00018614,0.00018614,0.018614,-0.018614,0.1,0.00507991,0.232983,-2.24672,2.45356
9,150.568,0.99323,0.63337,0.92269,7.1171,0.96624,0.95937,0.98211,0.7476,0.82115,0.49052,0.89727,0,0.00018416,0.00018416,0.00018416,0.018416,-0.018416,0.1,0.0058672,0.260109,-2.52698,2.74954
10,166.613,0.98038,0.61742,0.92523,6.43565,0.96394,0.95727,0.98279,0.73953,0.84662,0.50538,0.90848,0,0.00018218,0.00018218,0.00018218,0.018218,-0.018218,0.1,0.00722421,0.285803,-2.81677,3.05112
11,182.991,0.97162,0.61154,0.92527,5.97129,0.9686,0.96182,0.98375,0.75791,0.78395,0.47618,0.89,0,0.0001802,0.0001802,0.0001802,0.01802,-0.01802,0.1,0.0094103,0.304321,-3.07264,3.3131
12,199.326,1.02078,0.64059,0.92971,5.67065,0.97333,0.95465,0.9846,0.76145,0.77878,0.47332,0.88784,0,0.00017822,0.00017822,0.00017822,0.017822,-0.017822,0.1,0.0131707,0.316204,-3.3369,3.5777
13,215.987,1.00092,0.61841,0.92727,5.32601,0.97378,0.95966,0.98607,0.76069,0.7826,0.46187,0.88902,0,0.00017624,0.00017624,0.00017624,0.017624,-0.017624,0.1,0.0185923,0.316356,-3.56749,3.80103
14,232.377,0.96985,0.60639,0.92287,5.05958,0.96967,0.96344,0.98396,0.76169,0.76428,0.46379,0.88237,0,0.00017426,0.00017426,0.00017426,0.017426,-0.017426,0.1,0.0277488,0.297757,-3.79924,4.01376
15,248.908,0.97783,0.61594,0.91638,4.76404,0.97204,0.96111,0.98406,0.73973,0.82581,0.47846,0.89947,0,0.00017228,0.00017228,0.00017228,0.017228,-0.017228,0.1,0.0395792,0.260215,-3.99102,4.17467
16,264.873,0.97715,0.60183,0.92045,4.57523,0.9737,0.95523,0.98328,0.74744,0.84741,0.50664,0.90383,0,0.0001703,0.0001703,0.0001703,0.01703,-0.01703,0.1,0.0536227,0.207065,-4.16785,4.30342
17,281.052,0.95303,0.5937,0.9155,4.36461,0.9714,0.96009,0.98308,0.74452,0.83219,0.48771,0.8964,0,0.00016832,0.00016832,0.00016832,0.016832,-0.016832,0.1,0.0656501,0.156988,-4.28902,4.37623
18,297.114,0.96312,0.595,0.9178,4.25396,0.96551,0.96679,0.98407,0.75494,0.79713,0.46591,0.89317,0,0.00016634,0.00016634,0.00016634,0.016634,-0.016634,0.1,0.0783657,0.101226,-4.39721,4.42691
19,313.314,0.94062,0.58468,0.91358,4.06155,0.96459,0.97086,0.98502,0.73165,0.88224,0.49821,0.91089,0,0.00016436,0.00016436,0.00016436,0.016436,-0.016436,0.1,0.0882886,0.0562479,-4.46529,4.44989
20,329.546,0.94639,0.57887,0.91365,3.90185,0.96966,0.96816,0.98351,0.75892,0.78687,0.46098,0.8894,0,0.00016238,0.00016238,0.00016238,0.016238,-0.016238,0.1,0.0967607,0.0173795,-4.50862,4.45991
21,345.715,0.95016,0.58376,0.91617,3.82055,0.9643,0.96289,0.98209,0.68259,1.00796,0.52522,0.93831,0,0.0001604,0.0001604,0.0001604,0.01604,-0.01604,0.1,0.103189,-0.0122798,-4.52492,4.46277
22,361.739,0.95894,0.59913,0.91494,3.6679,0.97067,0.96444,0.98586,0.76499,0.76395,0.45021,0.88067,0,0.00015842,0.00015842,0.00015842,0.015842,-0.015842,0.1,0.108711,-0.0374277,-4.52113,4.46416
23,377.962,0.93322,0.58019,0.90433,3.58391,0.97422,0.96177,0.98671,0.76971,0.75777,0.436,0.88227,0,0.00015644,0.00015644,0.00015644,0.015644,-0.015644,0.1,0.11255,-0.0545164,-4.50144,4.46652
24,394.046,0.94494,0.56383,0.90999,3.45576,0.96371,0.97066,0.98074,0.62883,1.1929,0.54733,0.98236,0,0.00015446,0.00015446,0.00015446,0.015446,-0.015446,0.1,0.116108,-0.0697706,-4.4661,4.47171
25,410.178,0.96954,0.56617,0.91229,3.37088,0.97178,0.96059,0.97972,0.72909,0.86522,0.46014,0.90051,0,0.00015248,0.00015248,0.00015248,0.015248,-0.015248,0.1,0.118527,-0.079684,-4.42274,4.47955
26,426.71,0.91286,0.56089,0.90279,3.21192,0.97535,0.96432,0.98687,0.76099,0.76978,0.44569,0.88611,0,0.0001505,0.0001505,0.0001505,0.01505,-0.01505,0.1,0.120945,-0.0887818,-4.36646,4.4914
27,442.765,0.93482,0.56867,0.906,3.157,0.97056,0.96014,0.9817,0.72489,0.88543,0.47621,0.90576,0,0.00014852,0.00014852,0.00014852,0.014852,-0.014852,0.1,0.122952,-0.095979,-4.307,4.50555
28,459.021,0.91562,0.55578,0.90439,3.06164,0.96863,0.96139,0.98366,0.75174,0.79671,0.44578,0.88721,0,0.00014654,0.00014654,0.00014654,0.014654,-0.014654,0.1,0.124764,-0.101738,-4.2354,4.52438
29,475.043,0.91909,0.56126,0.90643,3.02035,0.97505,0.96284,0.98393,0.76979,0.74,0.44281,0.87915,0,0.00014456,0.00014456,0.00014456,0.014456,-0.014456,0.1,0.126114,-0.105411,-4.16367,4.54479
30,491.573,0.92428,0.56793,0.90802,2.94116,0.97402,0.96455,0.98354,0.76183,0.77779,0.43764,0.88867,0,0.00014258,0.00014258,0.00014258,0.014258,-0.014258,0.1,0.12723,-0.107598,-4.08102,4.56981
31,507.996,0.95392,0.56019,0.90637,2.87456,0.97241,0.96,0.98019,0.75522,0.78243,0.44155,0.88676,0,0.0001406,0.0001406,0.0001406,0.01406,-0.01406,0.1,0.128062,-0.10863,-4.00114,4.59518
32,524.273,0.91792,0.55221,0.90557,2.75565,0.97097,0.968,0.98529,0.76099,0.76454,0.43277,0.88187,0,0.00013862,0.00013862,0.00013862,0.013862,-0.013862,0.1,0.128872,-0.109074,-3.91154,4.62473
33,540.401,0.90306,0.54339,0.90434,2.74032,0.96765,0.96967,0.985,0.77715,0.7306,0.42492,0.87626,0,0.00013664,0.00013664,0.00013664,0.013664,-0.013664,0.1,0.129558,-0.109062,-3.82649,4.65374
34,556.626,0.91238,0.54842,0.9053,2.731,0.97195,0.95809,0.98333,0.75495,0.80287,0.44686,0.88842,0,0.00013466,0.00013466,0.00013466,0.013466,-0.013466,0.1,0.130168,-0.108403,-3.73216,4.68687
