epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_loss,gated/lambda1,gated/lambda2
1,14.5466,1.02331,0.6858,0.93286,17.5859,0.80713,0.84907,0.8992,0.34558,2.04586,2.45286,1.38914,0,6.4e-05,6.4e-05,0.068064,0.0064,-0.0064,0.02,0.00401153,0.00115229,-0.0773316,0.0773269
2,28.6711,1.00135,0.65664,0.92333,13.7338,0.95779,0.91421,0.97301,0.72056,0.82899,0.60836,0.89602,0,0.000129373,0.000129373,0.034796,0.0129373,-0.0129373,0.04,0.00403259,0.00976795,-0.277747,0.281368
3,42.6614,0.99587,0.64921,0.92491,12.7211,0.95861,0.94511,0.97941,0.699,0.94431,0.53904,0.91981,0,0.000193426,0.000193426,0.00152676,0.0193426,-0.0193426,0.06,0.00399679,0.0302606,-0.536491,0.561038
4,56.7931,0.98319,0.6396,0.92325,11.4872,0.96029,0.95836,0.98084,0.74091,0.82929,0.50865,0.89503,0,0.00019406,0.00019406,0.00019406,0.019406,-0.019406,0.08,0.00392275,0.0717715,-0.900629,0.965579
5,71.2775,1.01774,0.65451,0.93088,10.595,0.97002,0.95951,0.98298,0.74366,0.81436,0.49403,0.90133,0,0.00019208,0.00019208,0.00019208,0.019208,-0.019208,0.1,0.00384939,0.129553,-1.24894,1.36018
6,85.8638,0.98895,0.63014,0.9291,9.53258,0.9655,0.95563,0.98404,0.73931,0.81109,0.49397,0.89528,0,0.0001901,0.0001901,0.0001901,0.01901,-0.01901,0.1,0.00377134,0.16867,-1.613,1.76758
7,100.906,0.98639,0.6346,0.9321,8.53004,0.96066,0.95731,0.98171,0.74987,0.80607,0.49882,0.89752,0,0.00018812,0.00018812,0.00018812,0.018812,-0.018812,0.1,0.00370931,0.202463,-1.92765,2.1121
8,115.85,0.9903,0.64503,0.9291,7.76629,0.96824,0.96274,0.98467,0.75359,0.79931,0.47241,0.89438,0,0.00018614,0.00018614,0.00018614,0.018614,-0.018614,0.1,0.00366067,0.236888,-2.2489,2.4578
9,130.449,0.99464,0.63459,0.923,7.12486,0.96602,0.96316,0.98236,0.75075,0.81979,0.4869,0.89714,0,0.00018416,0.00018416,0.00018416,0.018416,-0.018416,0.1,0.00363469,0.267062,-2.53118,2.75771
10,144.996,0.97999,0.61761,0.92526,6.4441,0.96656,0.95445,0.98219,0.73588,0.85565,0.51296,0.90966,0,0.00018218,0.00018218,0.00018218,0.018218,-0.018218,0.1,0.00363887,0.29831,-2.82473,3.06669
11,159.366,0.97161,0.61184,0.92501,5.97725,0.9683,0.9626,0.98376,0.75957,0.78112,0.47484,0.88819,0,0.0001802,0.0001802,0.0001802,0.01802,-0.01802,0.1,0.00369561,0.325947,-3.08636,3.3401
12,173.939,1.02179,0.64161,0.92992,5.67573,0.97131,0.95686,0.98598,0.76189,0.77934,0.47499,0.88717,0,0.00017822,0.00017822,0.00017822,0.017822,-0.017822,0.1,0.00382936,0.354617,-3.36117,3.62559
