epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_loss,gated/lambda1,gated/lambda2
1,19.6667,1.02199,0.68316,0.93223,17.5846,0.80378,0.84872,0.90219,0.34956,2.02827,2.42039,1.38141,0,6.4e-05,6.4e-05,0.068064,0.0064,-0.0064,0.02,5.15568,2.23951,0.0770628,0.0767881
2,35.5699,0.99794,0.6518,0.92213,13.7265,0.95355,0.90515,0.96704,0.72848,0.80452,0.62351,0.89112,0,0.000129373,0.000129373,0.034796,0.0129373,-0.0129373,0.04,4.58226,5.76944,0.241648,0.236426
3,51.5008,0.98802,0.63931,0.92238,12.7051,0.96595,0.93714,0.97897,0.70915,0.917,0.53497,0.91323,0,0.000193426,0.000193426,0.00152676,0.0193426,-0.0193426,0.06,4.04687,7.91194,0.420762,0.400575
4,67.6039,0.97658,0.6284,0.92109,11.4552,0.95987,0.95471,0.9796,0.73003,0.85852,0.51132,0.90164,0,0.00019406,0.00019406,0.00019406,0.019406,-0.019406,0.08,3.43999,8.69666,0.635898,0.581685
5,84.4495,1.00616,0.64058,0.92797,10.5457,0.96939,0.95798,0.9832,0.74235,0.82466,0.49282,0.90472,0,0.00019208,0.00019208,0.00019208,0.019208,-0.019208,0.1,3.01831,8.49079,0.813809,0.715008
6,100.914,0.97513,0.61558,0.92484,9.46202,0.97119,0.95193,0.98434,0.74167,0.80839,0.49289,0.89605,0,0.0001901,0.0001901,0.0001901,0.01901,-0.01901,0.1,2.65512,7.9921,0.987282,0.830266
7,117.494,0.97344,0.62093,0.92831,8.43906,0.96283,0.95735,0.98187,0.75445,0.80089,0.50209,0.89608,0,0.00018812,0.00018812,0.00018812,0.018812,-0.018812,0.1,2.38312,7.40618,1.13272,0.916345
8,134.108,0.97711,0.62995,0.92576,7.65749,0.97336,0.96212,0.9839,0.75797,0.78788,0.46874,0.89109,0,0.00018614,0.00018614,0.00018614,0.018614,-0.018614,0.1,2.16419,6.90782,1.27732,0.993285
9,150.102,0.97274,0.61511,0.91734,7.00102,0.96821,0.9574,0.98216,0.7545,0.80032,0.47762,0.89225,0,0.00018416,0.00018416,0.00018416,0.018416,-0.018416,0.1,1.9972,6.48329,1.40143,1.05341
10,166.245,0.96348,0.59734,0.92078,6.29718,0.96635,0.95292,0.98073,0.73751,0.84724,0.50623,0.90639,0,0.00018218,0.00018218,0.00018218,0.018218,-0.018218,0.1,1.85389,6.11667,1.52765,1.10973
