epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_loss,gated/lambda1,gated/lambda2
1,19.7504,1.02416,0.6855,0.93314,17.5868,0.80157,0.85514,0.89285,0.32301,2.12096,2.43444,1.44634,0,6.4e-05,6.4e-05,0.068064,0.0064,-0.0064,0.02,0.00406884,0.00114811,-0.0773311,0.0773258
2,36.013,1.00061,0.6555,0.92331,13.7333,0.9531,0.90142,0.96948,0.72256,0.82271,0.63758,0.89535,0,0.000129373,0.000129373,0.034796,0.0129373,-0.0129373,0.04,0.00410847,0.00974831,-0.277778,0.281335
3,51.9449,0.99452,0.64721,0.92456,12.7189,0.96084,0.94505,0.97874,0.69769,0.94582,0.54328,0.92011,0,0.000193426,0.000193426,0.00152676,0.0193426,-0.0193426,0.06,0.00412132,0.0301967,-0.536556,0.560991
4,68.3917,0.98234,0.63791,0.92308,11.4826,0.96019,0.95714,0.9802,0.74054,0.82819,0.51009,0.89589,0,0.00019406,0.00019406,0.00019406,0.019406,-0.019406,0.08,0.00414311,0.071561,-0.90068,0.965462
5,84.7586,1.0169,0.65359,0.93118,10.59,0.96997,0.95881,0.98302,0.74443,0.81461,0.49462,0.90175,0,0.00019208,0.00019208,0.00019208,0.019208,-0.019208,0.1,0.00420864,0.129038,-1.24889,1.35991
6,101.754,0.98911,0.62926,0.92926,9.52996,0.96836,0.95575,0.98407,0.73849,0.81026,0.49503,0.89621,0,0.0001901,0.0001901,0.0001901,0.01901,-0.01901,0.1,0.00435685,0.167549,-1.61264,1.76678
7,118.365,0.98527,0.63335,0.93187,8.52757,0.95897,0.96188,0.98246,0.74867,0.81019,0.49948,0.89953,0,0.00018812,0.00018812,0.00018812,0.018812,-0.018812,0.1,0.00461405,0.200349,-1.92666,2.11015
8,135.106,0.98963,0.64415,0.9289,7.76528,0.97228,0.95975,0.9848,0.75351,0.79699,0.47322,0.89296,0,0.00018614,0.00018614,0.00018614,0.018614,-0.018614,0.1,0.00511498,0.232882,-2.24663,2.45343
9,151.703,0.99374,0.63332,0.92273,7.12359,0.96708,0.96039,0.98251,0.74641,0.8234,0.49008,0.89794,0,0.00018416,0.00018416,0.00018416,0.018416,-0.018416,0.1,0.00592392,0.259932,-2.52684,2.74932
10,168.325,0.98023,0.61759,0.92503,6.44381,0.96338,0.95438,0.98057,0.73221,0.8607,0.51294,0.9118,0,0.00018218,0.00018218,0.00018218,0.018218,-0.018218,0.1,0.00733254,0.285407,-2.81653,3.05069
11,185.081,0.97144,0.61141,0.925,5.97722,0.96787,0.96209,0.98288,0.75782,0.78428,0.47745,0.88929,0,0.0001802,0.0001802,0.0001802,0.01802,-0.01802,0.1,0.00949505,0.303964,-3.07224,3.31238
12,201.748,1.02128,0.64102,0.92995,5.67526,0.97569,0.95565,0.98554,0.76028,0.78153,0.47489,0.88836,0,0.00017822,0.00017822,0.00017822,0.017822,-0.017822,0.1,0.0132443,0.315867,-3.33637,3.57671
13,218.346,1.00159,0.61865,0.92718,5.33097,0.97242,0.9595,0.9859,0.76048,0.78301,0.46395,0.88845,0,0.00017624,0.00017624,0.00017624,0.017624,-0.017624,0.1,0.0186898,0.315905,-3.56686,3.79986
14,235.111,0.96959,0.60648,0.92271,5.06439,0.96639,0.96483,0.9839,0.75937,0.7674,0.46526,0.88274,0,0.00017426,0.00017426,0.00017426,0.017426,-0.017426,0.1,0.0279697,0.296796,-3.79844,4.01228
15,251.389,0.97822,0.61593,0.91658,4.76905,0.97279,0.96207,0.98363,0.74031,0.82209,0.47851,0.89866,0,0.00017228,0.00017228,0.00017228,0.017228,-0.017228,0.1,0.0400163,0.258274,-3.98981,4.17254
16,267.762,0.97806,0.60247,0.92086,4.58037,0.97515,0.95566,0.98352,0.74703,0.84926,0.50827,0.9039,0,0.0001703,0.0001703,0.0001703,0.01703,-0.01703,0.1,0.0544219,0.203468,-4.16565,4.29994
17,284.139,0.95311,0.59458,0.91567,4.37044,0.97136,0.95973,0.98375,0.74459,0.83366,0.48979,0.89656,0,0.00016832,0.00016832,0.00016832,0.016832,-0.016832,0.1,0.0668494,0.151527,-4.28527,4.37104
18,300.612,0.96281,0.59572,0.91744,4.25976,0.96289,0.97073,0.98661,0.75797,0.79145,0.46465,0.89103,0,0.00016634,0.00016634,0.00016634,0.016634,-0.016634,0.1,0.0799858,0.0937889,-4.39047,4.41931
19,317.139,0.94016,0.5844,0.9135,4.06683,0.97702,0.95754,0.98368,0.72719,0.89563,0.50662,0.91414,0,0.00016436,0.00016436,0.00016436,0.016436,-0.016436,0.1,0.0901571,0.0476593,-4.45465,4.44024
20,333.705,0.94669,0.58006,0.9142,3.9077,0.96606,0.97037,0.9834,0.75799,0.78743,0.4644,0.88978,0,0.00016238,0.00016238,0.00016238,0.016238,-0.016238,0.1,0.0986004,0.00895056,-4.49286,4.44876
21,349.874,0.94886,0.5836,0.91605,3.82619,0.96972,0.95866,0.98173,0.68979,0.98494,0.52087,0.933,0,0.0001604,0.0001604,0.0001604,0.01604,-0.01604,0.1,0.104851,-0.0197305,-4.50419,4.45109
22,366.163,0.95746,0.59976,0.91496,3.67056,0.9676,0.96261,0.9835,0.76285,0.76527,0.45084,0.88169,0,0.00015842,0.00015842,0.00015842,0.015842,-0.015842,0.1,0.110206,-0.0438642,-4.49525,4.4527
23,383.108,0.93253,0.58094,0.90446,3.58677,0.97414,0.96263,0.98701,0.76962,0.75584,0.43411,0.88154,0,0.00015644,0.00015644,0.00015644,0.015644,-0.015644,0.1,0.113938,-0.0602446,-4.47114,4.45582
24,399.413,0.944,0.5642,0.91031,3.45888,0.96834,0.96363,0.98073,0.61701,1.23208,0.55838,0.99317,0,0.00015446,0.00015446,0.00015446,0.015446,-0.015446,0.1,0.11745,-0.0749956,-4.43128,4.46224
25,416.098,0.97075,0.56665,0.91257,3.37474,0.96455,0.96693,0.97965,0.72753,0.86993,0.46126,0.90134,0,0.00015248,0.00015248,0.00015248,0.015248,-0.015248,0.1,0.119802,-0.084392,-4.3839,4.47152
26,432.674,0.91325,0.56111,0.90298,3.21603,0.97228,0.96579,0.98671,0.76043,0.77056,0.44767,0.88622,0,0.0001505,0.0001505,0.0001505,0.01505,-0.01505,0.1,0.122104,-0.0927353,-4.32347,4.48512
27,449.352,0.93441,0.56852,0.90579,3.16087,0.97045,0.96109,0.98084,0.72524,0.88687,0.47619,0.90541,0,0.00014852,0.00014852,0.00014852,0.014852,-0.014852,0.1,0.124041,-0.0993537,-4.26045,4.50098
28,465.833,0.91614,0.55521,0.90442,3.06698,0.96796,0.96276,0.98371,0.75211,0.79659,0.44539,0.8874,0,0.00014654,0.00014654,0.00014654,0.014654,-0.014654,0.1,0.125867,-0.104862,-4.18522,4.52175
29,481.941,0.91903,0.56126,0.90666,3.02461,0.97766,0.9609,0.9842,0.76692,0.74211,0.44311,0.87909,0,0.00014456,0.00014456,0.00014456,0.014456,-0.014456,0.1,0.127319,-0.108659,-4.11016,4.54412
30,498.504,0.92435,0.56757,0.90813,2.94478,0.97312,0.96566,0.98373,0.76028,0.77824,0.4393,0.88813,0,0.00014258,0.00014258,0.00014258,0.014258,-0.014258,0.1,0.128563,-0.111041,-4.02368,4.57155
31,514.749,0.95495,0.56031,0.90636,2.87875,0.96904,0.96401,0.98013,0.74935,0.79541,0.4446,0.88884,0,0.0001406,0.0001406,0.0001406,0.01406,-0.01406,0.1,0.129514,-0.112236,-3.93997,4.59948
32,531.396,0.9176,0.55115,0.90558,2.75955,0.96952,0.96834,0.98321,0.75976,0.76447,0.43263,0.88222,0,0.00013862,0.00013862,0.00013862,0.013862,-0.013862,0.1,0.130468,-0.112857,-3.84587,4.63219
33,547.784,0.90298,0.54358,0.90438,2.74454,0.96594,0.97087,0.98553,0.77607,0.72907,0.42451,0.87607,0,0.00013664,0.00013664,0.00013664,0.013664,-0.013664,0.1,0.131294,-0.112994,-3.75633,4.66448
34,564.55,0.91109,0.54798,0.90502,2.73526,0.96493,0.96602,0.98356,0.75805,0.79202,0.44283,0.88574,0,0.00013466,0.00013466,0.00013466,0.013466,-0.013466,0.1,0.132043,-0.11242,-3.65675,4.7016
35,580.68,0.9127,0.54585,0.90621,2.62338,0.96534,0.96613,0.98572,0.77133,0.74426,0.42896,0.87788,0,0.00013268,0.00013268,0.00013268,0.013268,-0.013268,0.1,0.132615,-0.111287,-3.56292,4.73761
36,597.049,0.925,0.5489,0.89959,2.64397,0.96554,0.96601,0.98322,0.69731,0.94909,0.46791,0.91486,0,0.0001307,0.0001307,0.0001307,0.01307,-0.01307,0.1,0.133078,-0.109376,-3.45972,4.77821
37,613.297,0.90432,0.53812,0.89738,2.52739,0.96797,0.967,0.98427,0.77004,0.75182,0.42165,0.87996,0,0.00012872,0.00012872,0.00012872,0.012872,-0.012872,0.1,0.133442,-0.10728,-3.36349,4.81684
38,629.972,0.90366,0.53448,0.90359,2.50656,0.97656,0.95683,0.98302,0.75839,0.78441,0.43466,0.88891,0,0.00012674,0.00012674,0.00012674,0.012674,-0.012674,0.1,0.1338,-0.10479,-3.25854,4.85973
39,646.284,0.89675,0.54077,0.90037,2.44491,0.96985,0.96783,0.98803,0.77856,0.73876,0.41143,0.87666,0,0.00012476,0.00012476,0.00012476,0.012476,-0.012476,0.1,0.13409,-0.102287,-3.16124,4.90014
40,663.001,0.89425,0.5265,0.89961,2.42634,0.96761,0.97029,0.98798,0.77396,0.7439,0.41422,0.87576,0,0.00012278,0.00012278,0.00012278,0.012278,-0.012278,0.1,0.134368,-0.0994066,-3.05561,4.94468
41,679.436,0.89563,0.52894,0.89968,2.39314,0.97448,0.9693,0.98239,0.71107,0.9128,0.46809,0.91036,0,0.0001208,0.0001208,0.0001208,0.01208,-0.01208,0.1,0.134582,-0.0965737,-2.95805,4.98638
42,696.133,0.90092,0.53332,0.9004,2.35467,0.9674,0.96481,0.98036,0.714,0.88295,0.45534,0.90366,0,0.00011882,0.00011882,0.00011882,0.011882,-0.011882,0.1,0.134785,-0.0933859,-2.85253,5.03207
43,712.404,0.87978,0.52094,0.89971,2.29123,0.96338,0.97043,0.98504,0.76217,0.76305,0.42848,0.88063,0,0.00011684,0.00011684,0.00011684,0.011684,-0.011684,0.1,0.134967,-0.0903978,-2.75541,5.07461
44,729.027,0.89918,0.53137,0.89851,2.31421,0.97207,0.96733,0.98652,0.76683,0.7539,0.41568,0.87794,0,0.00011486,0.00011486,0.00011486,0.011486,-0.011486,0.1,0.135138,-0.0870767,-2.65062,5.12104
45,745.693,0.88872,0.52913,0.89803,2.18782,0.96482,0.97232,0.9868,0.76752,0.76441,0.41537,0.88134,0,0.00011288,0.00011288,0.00011288,0.011288,-0.011288,0.1,0.135276,-0.0839475,-2.5544,5.16412
46,762.704,0.91277,0.53568,0.90278,2.21991,0.96454,0.96499,0.98364,0.70742,0.91853,0.46075,0.91001,0,0.0001109,0.0001109,0.0001109,0.01109,-0.01109,0.1,0.135416,-0.0805317,-2.45084,5.21097
47,779.125,0.9126,0.52349,0.90405,2.17888,0.97011,0.96221,0.98337,0.72138,0.89329,0.44521,0.90615,0,0.00010892,0.00010892,0.00010892,0.010892,-0.010892,0.1,0.13553,-0.0773425,-2.35595,5.25432
48,795.541,0.89185,0.52652,0.89356,2.20209,0.97056,0.96244,0.98331,0.73582,0.84123,0.43602,0.89701,0,0.00010694,0.00010694,0.00010694,0.010694,-0.010694,0.1,0.135643,-0.0738731,-2.25402,5.30131
49,812,0.91584,0.53631,0.89977,2.17348,0.97434,0.96686,0.98464,0.77489,0.72074,0.40343,0.87163,0,0.00010496,0.00010496,0.00010496,0.010496,-0.010496,0.1,0.13574,-0.0706703,-2.16081,5.34468
50,828.919,0.8798,0.52195,0.89799,2.14372,0.97259,0.9669,0.98706,0.77422,0.74434,0.40917,0.87657,0,0.00010298,0.00010298,0.00010298,0.010298,-0.010298,0.1,0.135842,-0.0672068,-2.06084,5.3916
51,845.299,0.87664,0.51424,0.89526,2.08317,0.97106,0.97323,0.98708,0.77366,0.73527,0.40748,0.87467,0,0.000101,0.000101,0.000101,0.0101,-0.0101,0.1,0.135929,-0.0640169,-1.96956,5.4348
52,861.823,0.89354,0.52903,0.89748,2.07819,0.97223,0.96805,0.98467,0.76907,0.76928,0.41437,0.88319,0,9.902e-05,9.902e-05,9.902e-05,0.009902,-0.009902,0.1,0.136008,-0.0605615,-1.87182,5.48146
53,878.577,0.88874,0.52542,0.89908,2.06532,0.97158,0.96699,0.98659,0.77289,0.72946,0.40762,0.87475,0,9.704e-05,9.704e-05,9.704e-05,0.009704,-0.009704,0.1,0.136072,-0.0573848,-1.78273,5.52432
54,895.302,0.88319,0.51625,0.89579,2.02925,0.9765,0.9616,0.98607,0.76788,0.74332,0.4144,0.87709,0,9.506e-05,9.506e-05,9.506e-05,0.009506,-0.009506,0.1,0.13614,-0.053975,-1.68751,5.5705
55,911.836,0.8677,0.51302,0.89268,2.01408,0.97028,0.9703,0.98359,0.77512,0.73123,0.40276,0.87433,0,9.308e-05,9.308e-05,9.308e-05,0.009308,-0.009308,0.1,0.1362,-0.0508564,-1.60085,5.61284
56,928.509,0.87162,0.51223,0.89655,1.98138,0.96371,0.97341,0.98504,0.74983,0.81305,0.42138,0.88635,0,9.11e-05,9.11e-05,9.11e-05,0.00911,-0.00911,0.1,0.136258,-0.047509,-1.50835,5.65837
57,945.082,0.88523,0.51769,0.89734,2.00582,0.9661,0.9713,0.98533,0.76732,0.75869,0.4155,0.88033,0,8.912e-05,8.912e-05,8.912e-05,0.008912,-0.008912,0.1,0.136305,-0.0444525,-1.4243,5.70005
58,961.729,0.87987,0.51056,0.8916,1.97373,0.97359,0.96795,0.98482,0.76483,0.77365,0.40673,0.88396,0,8.714e-05,8.714e-05,8.714e-05,0.008714,-0.008714,0.1,0.136351,-0.04118,-1.33473,5.74478
59,977.884,0.86282,0.51118,0.89466,1.91006,0.97099,0.96985,0.98506,0.77312,0.73789,0.39847,0.87778,0,8.516e-05,8.516e-05,8.516e-05,0.008516,-0.008516,0.1,0.136393,-0.0382038,-1.25347,5.78564
