epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_loss,gated/lambda1,gated/lambda2
1,18.8971,1.02324,0.68514,0.93285,17.5857,0.78388,0.8415,0.89539,0.32583,2.10928,2.49257,1.44025,0,6.4e-05,6.4e-05,0.068064,0.0064,-0.0064,0.02,0.00401323,0.00115216,-0.0773316,0.077327
2,35.1491,1.00183,0.656,0.92366,13.7331,0.94571,0.91033,0.96969,0.7244,0.81654,0.64148,0.89473,0,0.000129373,0.000129373,0.034796,0.0129373,-0.0129373,0.04,0.00403533,0.00976722,-0.277748,0.281367
3,51.1645,0.99549,0.64863,0.92493,12.7202,0.97084,0.93338,0.97856,0.69715,0.95362,0.54512,0.92293,0,0.000193426,0.000193426,0.00152676,0.0193426,-0.0193426,0.06,0.00399979,0.0302591,-0.536493,0.561037
4,67.4492,0.98334,0.63934,0.92331,11.4854,0.96029,0.95527,0.97923,0.73294,0.84955,0.51614,0.90082,0,0.00019406,0.00019406,0.00019406,0.019406,-0.019406,0.08,0.00392639,0.0717682,-0.900633,0.965578
5,84.0136,1.01791,0.65414,0.9315,10.5928,0.96875,0.95846,0.98307,0.74652,0.80895,0.49518,0.90034,0,0.00019208,0.00019208,0.00019208,0.019208,-0.019208,0.1,0.00385527,0.129545,-1.24895,1.36018
6,100.85,0.98909,0.62914,0.92896,9.53229,0.96789,0.9547,0.98412,0.73825,0.81019,0.4939,0.89459,0,0.0001901,0.0001901,0.0001901,0.01901,-0.01901,0.1,0.00378104,0.168652,-1.61301,1.76757
7,117.53,0.98607,0.6345,0.93171,8.52797,0.96361,0.95478,0.98249,0.74475,0.81428,0.5011,0.89932,0,0.00018812,0.00018812,0.00018812,0.018812,-0.018812,0.1,0.00371987,0.202438,-1.92764,2.11208
8,134.355,0.99109,0.64491,0.92917,7.76362,0.97099,0.95993,0.98485,0.75452,0.79566,0.47183,0.89277,0,0.00018614,0.00018614,0.00018614,0.018614,-0.018614,0.1,0.00367042,0.23686,-2.24888,2.45776
9,151.132,0.995,0.63429,0.92323,7.1221,0.97095,0.9586,0.98286,0.74445,0.82987,0.4899,0.89969,0,0.00018416,0.00018416,0.00018416,0.018416,-0.018416,0.1,0.00365139,0.267011,-2.53116,2.75765
10,168.087,0.98009,0.61788,0.92507,6.44247,0.9615,0.95845,0.98081,0.73613,0.85609,0.51157,0.9098,0,0.00018218,0.00018218,0.00018218,0.018218,-0.018218,0.1,0.00367347,0.298195,-2.82468,3.06659
11,184.89,0.97149,0.61192,0.92509,5.97657,0.96787,0.962,0.98399,0.75879,0.78201,0.47525,0.8896,0,0.0001802,0.0001802,0.0001802,0.01802,-0.01802,0.1,0.00376683,0.325688,-3.08626,3.33989
12,201.388,1.01944,0.64057,0.92913,5.67465,0.97433,0.95219,0.98554,0.76116,0.77826,0.47397,0.88693,0,0.00017822,0.00017822,0.00017822,0.017822,-0.017822,0.1,0.00398934,0.353983,-3.36093,3.6251
13,217.957,1.00293,0.61907,0.92756,5.33032,0.97367,0.96034,0.98625,0.76109,0.78205,0.46029,0.88841,0,0.00017624,0.00017624,0.00017624,0.017624,-0.017624,0.1,0.00438033,0.378444,-3.60726,3.87935
14,234.524,0.97112,0.60728,0.92339,5.06389,0.96496,0.96752,0.98334,0.76196,0.76297,0.46557,0.88257,0,0.00017426,0.00017426,0.00017426,0.017426,-0.017426,0.1,0.00517418,0.40225,-3.86676,4.14542
15,250.923,0.97832,0.61613,0.91686,4.76872,0.97357,0.96337,0.9837,0.74399,0.81772,0.47511,0.8982,0,0.00017228,0.00017228,0.00017228,0.017228,-0.017228,0.1,0.00645223,0.420504,-4.09947,4.38192
16,267.376,0.97752,0.60204,0.92082,4.58,0.97538,0.95717,0.9835,0.75527,0.82921,0.50121,0.89997,0,0.0001703,0.0001703,0.0001703,0.01703,-0.01703,0.1,0.00846894,0.435437,-4.34365,4.62692
17,283.763,0.95379,0.59477,0.91569,4.37069,0.9698,0.962,0.98292,0.74493,0.82774,0.48538,0.89553,0,0.00016832,0.00016832,0.00016832,0.016832,-0.016832,0.1,0.0107506,0.443362,-4.54317,4.82374
18,300.346,0.96402,0.59611,0.9182,4.2593,0.971,0.96101,0.98638,0.76006,0.78206,0.46103,0.89042,0,0.00016634,0.00016634,0.00016634,0.016634,-0.016634,0.1,0.013862,0.448081,-4.76977,5.04234
19,316.712,0.94037,0.58465,0.91366,4.06705,0.96363,0.96876,0.98273,0.7205,0.91664,0.51265,0.91834,0,0.00016436,0.00016436,0.00016436,0.016436,-0.016436,0.1,0.0168879,0.449141,-4.96984,5.23005
20,333.207,0.94683,0.5795,0.91416,3.90671,0.97097,0.96361,0.98326,0.75931,0.7828,0.46103,0.88865,0,0.00016238,0.00016238,0.00016238,0.016238,-0.016238,0.1,0.0199225,0.449338,-5.17685,5.41848
21,349.811,0.94957,0.584,0.91636,3.82542,0.96656,0.96217,0.98131,0.68264,1.00188,0.52493,0.93699,0,0.0001604,0.0001604,0.0001604,0.01604,-0.01604,0.1,0.0225246,0.448726,-5.35955,5.57988
22,366.235,0.9586,0.60004,0.91552,3.66976,0.96958,0.96122,0.98383,0.76281,0.76428,0.45114,0.88053,0,0.00015842,0.00015842,0.00015842,0.015842,-0.015842,0.1,0.0250452,0.448198,-5.54926,5.74276
23,382.719,0.93361,0.58124,0.90431,3.58517,0.97846,0.96052,0.98668,0.76954,0.75637,0.43445,0.88207,0,0.00015644,0.00015644,0.00015644,0.015644,-0.015644,0.1,0.0270371,0.448479,-5.71761,5.88359
24,399.515,0.94436,0.56436,0.91012,3.45703,0.96833,0.96386,0.98068,0.62546,1.20781,0.55164,0.98628,0,0.00015446,0.00015446,0.00015446,0.015446,-0.015446,0.1,0.0290136,0.448673,-5.89356,6.02744
25,415.711,0.97054,0.56666,0.91269,3.37253,0.97367,0.95904,0.97951,0.72602,0.87515,0.46318,0.90172,0,0.00015248,0.00015248,0.00015248,0.015248,-0.015248,0.1,0.030435,0.450506,-6.0507,6.15331
26,432.072,0.91312,0.56128,0.9029,3.21315,0.97428,0.96353,0.98653,0.75683,0.7798,0.45113,0.88792,0,0.0001505,0.0001505,0.0001505,0.01505,-0.01505,0.1,0.0318923,0.452404,-6.21605,6.28356
27,448.546,0.93455,0.56876,0.90585,3.15764,0.9727,0.95819,0.98087,0.73,0.87131,0.47327,0.90196,0,0.00014852,0.00014852,0.00014852,0.014852,-0.014852,0.1,0.0331014,0.454223,-6.36459,6.39884
28,465.025,0.91701,0.55622,0.90485,3.06431,0.96544,0.96548,0.98375,0.75607,0.78337,0.44255,0.88487,0,0.00014654,0.00014654,0.00014654,0.014654,-0.014654,0.1,0.0342199,0.456953,-6.52146,6.519
29,481.467,0.91929,0.56127,0.90663,3.02149,0.9772,0.96263,0.98426,0.76875,0.74078,0.44056,0.87901,0,0.00014456,0.00014456,0.00014456,0.014456,-0.014456,0.1,0.0350913,0.460084,-6.66293,6.62618
