epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_penalty,gated/lambda1,gated/lambda2
1,21.4723,1.02335,0.68512,0.93283,17.5853,0.80564,0.8536,0.89661,0.31728,2.15728,2.48222,1.47445,0,6.4e-05,6.4e-05,0.068064,0.0064,-0.0064,0.06,0.00406989,0.00418926,-0.0773326,0.0773317
2,38.2517,1.00104,0.65636,0.92337,13.7326,0.95151,0.90612,0.97025,0.71158,0.85455,0.65122,0.90202,0,0.000129373,0.000129373,0.034796,0.0129373,-0.0129373,0.12,0.00411444,0.0337534,-0.275998,0.2821
3,54.6158,0.99462,0.64826,0.92466,12.7162,0.95795,0.94565,0.97892,0.70562,0.92521,0.53817,0.91565,0,0.000193426,0.000193426,0.00152676,0.0193426,-0.0193426,0.18,0.00413314,0.105459,-0.531637,0.560553
4,71.3349,0.98319,0.63797,0.92319,11.4804,0.95793,0.95874,0.98019,0.73919,0.83101,0.5107,0.89691,0,0.00019406,0.00019406,0.00019406,0.019406,-0.019406,0.24,0.004171,0.255475,-0.891471,0.962855
5,88.3356,1.01754,0.65413,0.93122,10.5891,0.9671,0.95964,0.98323,0.74609,0.81316,0.49305,0.90113,0,0.00019208,0.00019208,0.00019208,0.019208,-0.019208,0.3,0.00426522,0.47271,-1.23606,1.35507
6,105.145,0.98829,0.62815,0.92864,9.52933,0.96496,0.95519,0.98401,0.73918,0.80841,0.4948,0.89526,0,0.0001901,0.0001901,0.0001901,0.01901,-0.01901,0.3,0.00448603,0.61503,-1.5968,1.76005
7,122.051,0.98536,0.63282,0.93196,8.52527,0.96135,0.95786,0.98307,0.74986,0.80558,0.4988,0.89875,0,0.00018812,0.00018812,0.00018812,0.018812,-0.018812,0.3,0.00486622,0.73673,-1.90891,2.10243
8,138.79,0.98997,0.64476,0.92926,7.76042,0.97124,0.96098,0.98377,0.75493,0.79805,0.47302,0.89392,0,0.00018614,0.00018614,0.00018614,0.018614,-0.018614,0.3,0.00557066,0.858849,-2.22764,2.44556
9,155.321,0.99384,0.63342,0.92303,7.118,0.96648,0.96309,0.98243,0.74844,0.82011,0.48909,0.89816,0,0.00018416,0.00018416,0.00018416,0.018416,-0.018416,0.3,0.00670484,0.963016,-2.5075,2.74248
10,172.005,0.9804,0.61729,0.92536,6.43712,0.96714,0.95174,0.98276,0.73769,0.85168,0.50782,0.90948,0,0.00018218,0.00018218,0.00018218,0.018218,-0.018218,0.3,0.00876742,1.06584,-2.79794,3.04691
11,188.468,0.97153,0.61184,0.92548,5.972,0.96979,0.96135,0.98386,0.75698,0.78589,0.4783,0.89119,0,0.0001802,0.0001802,0.0001802,0.01802,-0.01802,0.3,0.0120842,1.14834,-3.05579,3.31405
12,205.093,1.01925,0.64107,0.92947,5.67021,0.9735,0.95301,0.9856,0.76063,0.78233,0.47283,0.88867,0,0.00017822,0.00017822,0.00017822,0.017822,-0.017822,0.3,0.0176887,1.21996,-3.32466,3.58885
13,221.439,1.00239,0.61926,0.92747,5.32694,0.97324,0.95764,0.98616,0.76032,0.78175,0.46428,0.88833,0,0.00017624,0.00017624,0.00017624,0.017624,-0.017624,0.3,0.0255405,1.26404,-3.56307,3.82831
14,238.547,0.97052,0.60701,0.9231,5.06109,0.96953,0.96324,0.98362,0.76137,0.7654,0.46578,0.88222,0,0.00017426,0.00017426,0.00017426,0.017426,-0.017426,0.3,0.0381722,1.27703,-3.80978,4.07003
15,254.895,0.97798,0.61563,0.91646,4.76634,0.9733,0.96281,0.98396,0.74321,0.81615,0.47669,0.89708,0,0.00017228,0.00017228,0.00017228,0.017228,-0.017228,0.3,0.0534149,1.25521,-4.0252,4.27362
