epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_penalty,gated/lambda1,gated/lambda2
1,20.4018,1.02389,0.68535,0.93278,17.5856,0.77314,0.84131,0.88176,0.29929,2.21128,2.66414,1.50927,0,6.4e-05,6.4e-05,0.068064,0.0064,-0.0064,0.06,0.00406917,0.00418932,-0.0773326,0.0773317
2,36.7744,1.00132,0.6566,0.92374,13.7323,0.94721,0.91334,0.97139,0.72162,0.82664,0.6355,0.89614,0,0.000129373,0.000129373,0.034796,0.0129373,-0.0129373,0.12,0.0041141,0.0337536,-0.275998,0.2821
3,53.1439,0.99457,0.64825,0.9244,12.7173,0.9653,0.94053,0.97892,0.69621,0.94513,0.54204,0.92016,0,0.000193426,0.000193426,0.00152676,0.0193426,-0.0193426,0.18,0.00413331,0.105459,-0.531636,0.560553
4,69.5827,0.9829,0.63894,0.92327,11.4832,0.95967,0.95642,0.9802,0.73886,0.84213,0.51259,0.89949,0,0.00019406,0.00019406,0.00019406,0.019406,-0.019406,0.24,0.00417128,0.255474,-0.89147,0.962855
5,86.233,1.01754,0.65443,0.93137,10.5922,0.96679,0.9609,0.98335,0.74921,0.80797,0.49426,0.90039,0,0.00019208,0.00019208,0.00019208,0.019208,-0.019208,0.3,0.00425602,0.472725,-1.23606,1.35507
6,102.686,0.98921,0.62885,0.92907,9.53161,0.96491,0.95545,0.98425,0.7365,0.81162,0.4988,0.89576,0,0.0001901,0.0001901,0.0001901,0.01901,-0.01901,0.3,0.00444267,0.615133,-1.59681,1.76006
7,119.936,0.98546,0.63401,0.93171,8.52843,0.96092,0.95647,0.98217,0.75249,0.80387,0.49887,0.8976,0,0.00018812,0.00018812,0.00018812,0.018812,-0.018812,0.3,0.00474675,0.737089,-1.90895,2.1025
8,137.614,0.9897,0.64476,0.92897,7.76507,0.9708,0.96153,0.98486,0.75447,0.80001,0.47339,0.89424,0,0.00018614,0.00018614,0.00018614,0.018614,-0.018614,0.3,0.00531358,0.859774,-2.22775,2.44578
9,154.543,0.99421,0.63401,0.92312,7.12491,0.96353,0.96091,0.98203,0.75143,0.8108,0.48419,0.89503,0,0.00018416,0.00018416,0.00018416,0.018416,-0.018416,0.3,0.0062051,0.965067,-2.50776,2.743
10,171.496,0.97988,0.61746,0.92498,6.44411,0.96068,0.9617,0.98256,0.734,0.85375,0.51196,0.90859,0,0.00018218,0.00018218,0.00018218,0.018218,-0.018218,0.3,0.00777202,1.07039,-2.79853,3.04809
11,187.931,0.9707,0.61162,0.9248,5.97742,0.97125,0.96201,0.98383,0.75671,0.78469,0.47653,0.88903,0,0.0001802,0.0001802,0.0001802,0.01802,-0.01802,0.3,0.0103014,1.15725,-3.05696,3.31639
12,204.52,1.02055,0.64107,0.92942,5.67555,0.972,0.95363,0.98462,0.7586,0.78439,0.47659,0.88843,0,0.00017822,0.00017822,0.00017822,0.017822,-0.017822,0.3,0.0145897,1.23684,-3.32698,3.59349
13,221.426,1.00095,0.6186,0.92705,5.32988,0.97533,0.95921,0.98612,0.76145,0.78219,0.46321,0.8881,0,0.00017624,0.00017624,0.00017624,0.017624,-0.017624,0.3,0.0207208,1.29206,-3.56719,3.83651
