epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_penalty,gated/lambda1,gated/lambda2
1,18.4836,1.02334,0.68474,0.93296,17.5851,0.79773,0.8475,0.88777,0.3107,2.15998,2.56712,1.48213,0,6.4e-05,6.4e-05,0.068064,0.0064,-0.0064,0.06,0.00401454,0.00419362,-0.0773327,0.0773318
2,34.9279,1.00199,0.65645,0.92332,13.7336,0.95057,0.90398,0.97021,0.71686,0.84229,0.66272,0.8992,0,0.000129373,0.000129373,0.034796,0.0129373,-0.0129373,0.12,0.0040419,0.0337751,-0.275988,0.282106
3,51.184,0.9958,0.64854,0.92467,12.7205,0.96801,0.93618,0.97881,0.70819,0.91499,0.53672,0.91327,0,0.000193426,0.000193426,0.00152676,0.0193426,-0.0193426,0.18,0.00401063,0.105536,-0.531617,0.560563
4,67.9016,0.98394,0.63918,0.92337,11.4866,0.96182,0.95433,0.97948,0.73511,0.84784,0.51522,0.89943,0,0.00019406,0.00019406,0.00019406,0.019406,-0.019406,0.24,0.00394091,0.25576,-0.89146,0.962891
5,84.7279,1.01747,0.65412,0.93115,10.596,0.96907,0.95795,0.98269,0.75059,0.80151,0.49413,0.89838,0,0.00019208,0.00019208,0.00019208,0.019208,-0.019208,0.3,0.00387072,0.473476,-1.23609,1.35516
6,101.186,0.98909,0.62942,0.92896,9.53511,0.96469,0.95622,0.98356,0.7393,0.80758,0.49556,0.89457,0,0.0001901,0.0001901,0.0001901,0.01901,-0.01901,0.3,0.00379755,0.616809,-1.59696,1.76036
7,117.965,0.98595,0.63448,0.93175,8.53035,0.96181,0.95522,0.98239,0.74658,0.81162,0.50131,0.89878,0,0.00018812,0.00018812,0.00018812,0.018812,-0.018812,0.3,0.00373965,0.740279,-1.90934,2.10322
8,134.618,0.9901,0.64491,0.92901,7.76569,0.96897,0.96295,0.98463,0.7542,0.79538,0.47043,0.89258,0,0.00018614,0.00018614,0.00018614,0.018614,-0.018614,0.3,0.0036968,0.86581,-2.22861,2.4474
9,151.118,0.99347,0.634,0.9228,7.12313,0.96486,0.96076,0.98258,0.75136,0.81318,0.48465,0.89516,0,0.00018416,0.00018416,0.00018416,0.018416,-0.018416,0.3,0.00368863,0.975688,-2.50937,2.74608
10,167.997,0.9805,0.61808,0.92513,6.44312,0.96299,0.95834,0.98285,0.73909,0.8457,0.50814,0.90733,0,0.00018218,0.00018218,0.00018218,0.018218,-0.018218,0.3,0.00370813,1.08955,-2.80152,3.05388
11,184.565,0.97291,0.61345,0.92524,5.97772,0.96715,0.96165,0.98387,0.75866,0.78129,0.47572,0.88949,0,0.0001802,0.0001802,0.0001802,0.01802,-0.01802,0.3,0.00376599,1.19069,-3.06207,3.32638
12,201.355,1.0203,0.64132,0.92972,5.67601,0.96767,0.95934,0.98596,0.76117,0.77779,0.47628,0.88724,0,0.00017822,0.00017822,0.00017822,0.017822,-0.017822,0.3,0.00391374,1.29631,-3.33594,3.61119
13,217.632,1.00156,0.61949,0.92731,5.33143,0.97262,0.95893,0.98613,0.76272,0.7785,0.4609,0.8878,0,0.00017624,0.00017624,0.00017624,0.017624,-0.017624,0.3,0.00418562,1.3902,-3.58198,3.86583
14,234.16,0.97142,0.6074,0.92346,5.06653,0.97205,0.96043,0.98348,0.76213,0.76237,0.46377,0.88244,0,0.00017426,0.00017426,0.00017426,0.017426,-0.017426,0.3,0.00473304,1.48746,-3.84191,4.13371
15,250.853,0.97861,0.61667,0.91661,4.77209,0.97229,0.96224,0.98364,0.74116,0.82261,0.477,0.89827,0,0.00017228,0.00017228,0.00017228,0.017228,-0.017228,0.3,0.00560089,1.57227,-4.07617,4.37411
16,267.381,0.97868,0.60293,0.92065,4.58371,0.97576,0.95713,0.98372,0.75151,0.83274,0.50473,0.90044,0,0.0001703,0.0001703,0.0001703,0.01703,-0.01703,0.3,0.00698158,1.65801,-4.32409,4.62733
17,283.916,0.95258,0.59458,0.91532,4.37352,0.9716,0.96055,0.98344,0.74915,0.81867,0.48515,0.89326,0,0.00016832,0.00016832,0.00016832,0.016832,-0.016832,0.3,0.00858304,1.72468,-4.52909,4.83564
18,300.417,0.96209,0.59544,0.91756,4.26065,0.9679,0.96881,0.98706,0.76034,0.78165,0.46031,0.88909,0,0.00016634,0.00016634,0.00016634,0.016634,-0.016634,0.3,0.010878,1.7968,-4.76578,5.07466
19,316.991,0.94201,0.58515,0.91375,4.06984,0.96509,0.97168,0.98507,0.72728,0.89701,0.50487,0.91392,0,0.00016436,0.00016436,0.00016436,0.016436,-0.016436,0.3,0.0132557,1.85762,-4.97904,5.28847
20,333.536,0.94652,0.57929,0.91414,3.90851,0.96806,0.96924,0.98431,0.75835,0.78272,0.46157,0.88823,0,0.00016238,0.00016238,0.00016238,0.016238,-0.016238,0.3,0.0158506,1.9194,-5.20452,5.51281
21,349.926,0.95007,0.58422,0.91641,3.82796,0.96504,0.96291,0.98149,0.68372,1.00187,0.52512,0.93709,0,0.0001604,0.0001604,0.0001604,0.01604,-0.01604,0.3,0.018204,1.9731,-5.40774,5.71344
22,366.465,0.95989,0.60088,0.91575,3.67431,0.9682,0.96332,0.98336,0.76316,0.76431,0.45031,0.87987,0,0.00015842,0.00015842,0.00015842,0.015842,-0.015842,0.3,0.0205729,2.02937,-5.62281,5.92424
23,383.299,0.93272,0.58118,0.90452,3.58866,0.97572,0.96198,0.98686,0.76972,0.75729,0.43526,0.88204,0,0.00015644,0.00015644,0.00015644,0.015644,-0.015644,0.3,0.0224624,2.08104,-5.81696,6.11327
24,399.747,0.94474,0.56401,0.9103,3.45956,0.9612,0.96844,0.98151,0.62595,1.20603,0.54871,0.98504,0,0.00015446,0.00015446,0.00015446,0.015446,-0.015446,0.3,0.024436,2.13487,-6.02284,6.3126
25,416.359,0.96989,0.56598,0.91241,3.37513,0.96259,0.97013,0.98017,0.72792,0.87113,0.46325,0.90142,0,0.00015248,0.00015248,0.00015248,0.015248,-0.015248,0.3,0.0259079,2.18535,-6.20904,6.49197
