epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_penalty,gated/lambda1,gated/lambda2
1,17.7792,1.02335,0.68475,0.93287,17.5851,0.794,0.84662,0.89174,0.31217,2.16285,2.46233,1.47644,0,6.4e-05,6.4e-05,0.068064,0.0064,-0.0064,0.06,0.00401536,0.00419355,-0.0773327,0.0773319
2,34.2543,1.00101,0.65561,0.92323,13.7331,0.95422,0.90476,0.96825,0.7178,0.83627,0.63229,0.89751,0,0.000129373,0.000129373,0.034796,0.0129373,-0.0129373,0.12,0.00404203,0.0337751,-0.275989,0.282107
3,50.5185,0.99565,0.64806,0.92449,12.7183,0.97054,0.93403,0.97868,0.70469,0.92709,0.53926,0.91619,0,0.000193426,0.000193426,0.00152676,0.0193426,-0.0193426,0.18,0.00400968,0.105537,-0.531618,0.560564
4,66.5143,0.98363,0.63981,0.92314,11.4834,0.96014,0.95643,0.98201,0.74295,0.82315,0.51012,0.89448,0,0.00019406,0.00019406,0.00019406,0.019406,-0.019406,0.24,0.00394057,0.255761,-0.891463,0.962893
5,83.1526,1.01762,0.65419,0.93122,10.592,0.96938,0.95958,0.98291,0.73758,0.83138,0.49733,0.90556,0,0.00019208,0.00019208,0.00019208,0.019208,-0.019208,0.3,0.00386939,0.47348,-1.2361,1.35517
6,99.3668,0.98908,0.62966,0.92889,9.5318,0.96475,0.95592,0.98445,0.73724,0.81138,0.49602,0.89463,0,0.0001901,0.0001901,0.0001901,0.01901,-0.01901,0.3,0.00379677,0.616813,-1.59697,1.76036
7,115.929,0.986,0.63407,0.93148,8.52843,0.95996,0.95859,0.98251,0.74826,0.80967,0.49977,0.89832,0,0.00018812,0.00018812,0.00018812,0.018812,-0.018812,0.3,0.00374621,0.740263,-1.90934,2.10322
8,132.709,0.9909,0.64502,0.92931,7.76469,0.97108,0.96051,0.98481,0.75424,0.79724,0.47531,0.89352,0,0.00018614,0.00018614,0.00018614,0.018614,-0.018614,0.3,0.00372208,0.865724,-2.22861,2.44739
9,149.343,0.99518,0.63512,0.92315,7.12276,0.97024,0.96053,0.98433,0.74399,0.83085,0.49125,0.90057,0,0.00018416,0.00018416,0.00018416,0.018416,-0.018416,0.3,0.00374299,0.975468,-2.50935,2.74604
10,165.749,0.9803,0.61849,0.92544,6.44402,0.96781,0.95172,0.98003,0.73201,0.86602,0.51427,0.91314,0,0.00018218,0.00018218,0.00018218,0.018218,-0.018218,0.3,0.00383068,1.089,-2.80146,3.05376
11,182.915,0.97214,0.61362,0.92538,5.97736,0.96804,0.96299,0.98371,0.75777,0.78265,0.47622,0.88887,0,0.0001802,0.0001802,0.0001802,0.01802,-0.01802,0.3,0.00397759,1.18962,-3.06194,3.32611
12,199.885,1.02107,0.64149,0.92978,5.6764,0.96936,0.9568,0.98456,0.76048,0.77817,0.47328,0.88774,0,0.00017822,0.00017822,0.00017822,0.017822,-0.017822,0.3,0.00428281,1.29426,-3.33568,3.61065
13,216.611,1.0024,0.61968,0.92771,5.33256,0.97414,0.95935,0.98657,0.76254,0.78118,0.46282,0.88813,0,0.00017624,0.00017624,0.00017624,0.017624,-0.017624,0.3,0.00479704,1.38657,-3.5815,3.86486
14,233.49,0.97117,0.60734,0.92323,5.06751,0.9675,0.96399,0.98338,0.7636,0.76038,0.4615,0.88137,0,0.00017426,0.00017426,0.00017426,0.017426,-0.017426,0.3,0.00581064,1.48062,-3.84104,4.13195
