epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_penalty,gated/lambda1,gated/lambda2
1,18.3388,1.02456,0.68565,0.9332,17.586,0.78024,0.8321,0.87452,0.2807,2.2865,2.63278,1.58088,0,6.4e-05,6.4e-05,0.068064,0.016,-0.016,0.03,0.00406791,0.0047186,-0.193308,0.193279
2,34.4459,1.00273,0.65735,0.92354,13.7344,0.95446,0.9087,0.97131,0.70259,0.87744,0.65134,0.90634,0,0.000129373,0.000129373,0.034796,0.0323433,-0.0323433,0.06,0.00423941,0.0384746,-0.691945,0.704276
3,50.3627,0.99872,0.65095,0.92532,12.7209,0.96525,0.93921,0.9791,0.70482,0.9215,0.53699,0.91435,0,0.000193426,0.000193426,0.00152676,0.0483565,-0.0483565,0.09,0.00421756,0.118742,-1.33461,1.40177
4,67.6446,0.9829,0.63963,0.92287,11.4842,0.96278,0.95536,0.98227,0.74032,0.83033,0.50927,0.89595,0,0.00019406,0.00019406,0.00019406,0.048515,-0.048515,0.12,0.00408724,0.282776,-2.23954,2.4105
5,85.29,1.01507,0.6494,0.93003,10.5845,0.96838,0.96004,0.98337,0.73642,0.83903,0.5006,0.90686,0,0.00019208,0.00019208,0.00019208,0.04802,-0.04802,0.15,0.00413963,0.513022,-3.10591,3.39438
6,102.401,0.98419,0.62548,0.92772,9.51346,0.96959,0.95417,0.98392,0.7401,0.81069,0.49217,0.89537,0,0.0001901,0.0001901,0.0001901,0.047525,-0.047525,0.18,0.00474725,0.835111,-4.06291,4.49718
7,118.912,0.97593,0.62557,0.92948,8.48597,0.96666,0.95631,0.98257,0.75126,0.80282,0.49814,0.89794,0,0.00018812,0.00018812,0.00018812,0.04703,-0.04703,0.21,0.00648277,1.21969,-4.95011,5.53049
8,135.557,0.97934,0.63666,0.92718,7.69779,0.96949,0.96609,0.98382,0.7559,0.7907,0.47097,0.89215,0,0.00018614,0.00018614,0.00018614,0.046535,-0.046535,0.24,0.0119655,1.67804,-5.90948,6.65731
9,152.301,0.98355,0.62461,0.92056,7.03288,0.97042,0.95762,0.98328,0.74432,0.82662,0.49237,0.89705,0,0.00018416,0.00018416,0.00018416,0.04604,-0.04604,0.27,0.0203707,2.15671,-6.78288,7.68583
10,169.118,0.97122,0.60752,0.9226,6.33539,0.96601,0.95564,0.98093,0.73636,0.85434,0.50661,0.90945,0,0.00018218,0.00018218,0.00018218,0.045545,-0.045545,0.3,0.0286552,2.72133,-7.71365,8.78467
11,185.592,0.96338,0.60287,0.92282,5.87948,0.97101,0.9632,0.98332,0.76,0.77819,0.47119,0.88749,0,0.0001802,0.0001802,0.0001802,0.04505,-0.04505,0.3,0.0338252,2.94058,-8.52833,9.72238
12,202.922,1.00056,0.6259,0.92475,5.57108,0.96966,0.96037,0.98355,0.75127,0.80295,0.4789,0.88866,0,0.00017822,0.00017822,0.00017822,0.044555,-0.044555,0.3,0.0367889,3.18051,-9.35324,10.641
13,219.382,1.00028,0.60857,0.92555,5.22625,0.97188,0.96051,0.98646,0.758,0.79124,0.46355,0.88943,0,0.00017624,0.00017624,0.00017624,0.04406,-0.04406,0.3,0.0383648,3.39905,-10.0716,11.4212
