epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,gated/target_sparsity,gated/expected_sparsity,gated/sparsity_penalty,gated/lambda1,gated/lambda2
1,20.2671,1.02308,0.68426,0.93277,17.5851,0.78196,0.83423,0.87988,0.30905,2.15696,2.70641,1.47784,0,6.4e-05,6.4e-05,0.068064,0.016,-0.016,0.03,0.00412107,0.00470891,-0.193309,0.193282
2,36.9855,1.00251,0.65552,0.92358,13.7328,0.94114,0.91822,0.97062,0.72657,0.81149,0.62881,0.89311,0,0.000129373,0.000129373,0.034796,0.0323433,-0.0323433,0.06,0.00438093,0.038381,-0.691961,0.704184
3,53.145,0.99645,0.64836,0.92483,12.7208,0.96601,0.93814,0.97894,0.68978,0.97516,0.54882,0.92619,0,0.000193426,0.000193426,0.00152676,0.0483565,-0.0483565,0.09,0.00463039,0.118171,-1.33445,1.40139
4,70.4447,0.97923,0.63612,0.92239,11.4829,0.96067,0.95264,0.98225,0.7414,0.82495,0.51417,0.89547,0,0.00019406,0.00019406,0.00019406,0.048515,-0.048515,0.12,0.00543539,0.279286,-2.23837,2.40885
5,88.4206,1.01357,0.64801,0.92988,10.5802,0.96692,0.95871,0.98307,0.73294,0.84523,0.50373,0.90776,0,0.00019208,0.00019208,0.00019208,0.04802,-0.04802,0.15,0.00788015,0.498733,-3.10182,3.38886
6,106.522,0.98352,0.6249,0.92778,9.50846,0.96953,0.95414,0.98407,0.74015,0.80458,0.49299,0.89513,0,0.0001901,0.0001901,0.0001901,0.047525,-0.047525,0.18,0.0165776,0.773285,-4.04951,4.47805
7,124.133,0.97507,0.62442,0.92919,8.48312,0.96549,0.95689,0.98223,0.75472,0.80009,0.49651,0.897,0,0.00018812,0.00018812,0.00018812,0.04703,-0.04703,0.21,0.0382185,1.0074,-4.91109,5.46985
8,141.223,0.97908,0.63519,0.92712,7.69551,0.96643,0.9643,0.98448,0.75615,0.78851,0.47005,0.8907,0,0.00018614,0.00018614,0.00018614,0.046535,-0.046535,0.24,0.0781536,1.12161,-5.79926,6.47406
9,158.32,0.98125,0.62243,0.91988,7.03001,0.96829,0.95892,0.98199,0.74644,0.8309,0.49267,0.89891,0,0.00018416,0.00018416,0.00018416,0.04604,-0.04604,0.27,0.10944,1.24641,-6.55297,7.29028
10,175.179,0.96995,0.60643,0.92243,6.33228,0.9594,0.96016,0.98034,0.73934,0.84455,0.50468,0.9068,0,0.00018218,0.00018218,0.00018218,0.045545,-0.045545,0.3,0.126307,1.51428,-7.32691,8.11436
11,192.01,0.9607,0.60122,0.92207,5.87317,0.97132,0.96115,0.98345,0.75993,0.78251,0.47332,0.88835,0,0.0001802,0.0001802,0.0001802,0.04505,-0.04505,0.3,0.133899,1.56616,-7.99821,8.80816
12,209.49,1.00135,0.62558,0.92507,5.56475,0.96686,0.96179,0.98339,0.75241,0.79948,0.47951,0.88795,0,0.00017822,0.00017822,0.00017822,0.044555,-0.044555,0.3,0.137865,1.64916,-8.6785,9.4855
13,226.965,1.00061,0.60717,0.92537,5.2213,0.97355,0.96081,0.98658,0.75933,0.79029,0.4622,0.88973,0,0.00017624,0.00017624,0.00017624,0.04406,-0.04406,0.3,0.139657,1.73863,-9.27606,10.0665
14,244.165,0.96187,0.59269,0.91998,4.94408,0.96986,0.96167,0.98391,0.75734,0.76864,0.46206,0.88128,0,0.00017426,0.00017426,0.00017426,0.043565,-0.043565,0.3,0.141253,1.83356,-9.90082,10.6667
15,261.421,0.96612,0.60205,0.91279,4.66037,0.97541,0.95712,0.98388,0.74326,0.82315,0.47416,0.8988,0,0.00017228,0.00017228,0.00017228,0.04307,-0.04307,0.3,0.143045,1.91162,-10.4608,11.2007
16,278.682,0.9631,0.58866,0.91726,4.46695,0.97739,0.95426,0.98307,0.74241,0.87227,0.49507,0.90887,0,0.0001703,0.0001703,0.0001703,0.042575,-0.042575,0.3,0.144988,1.98967,-11.0507,11.7592
17,295.771,0.93801,0.57983,0.91228,4.26056,0.97351,0.96264,0.98362,0.72601,0.89241,0.50027,0.91077,0,0.00016832,0.00016832,0.00016832,0.04208,-0.04208,0.3,0.146401,2.0543,-11.537,12.2163
18,312.672,0.948,0.58159,0.91462,4.1373,0.96586,0.96652,0.98552,0.7621,0.77717,0.45554,0.88899,0,0.00016634,0.00016634,0.00016634,0.041585,-0.041585,0.3,0.147605,2.13335,-12.0981,12.7406
19,329.439,0.93224,0.57065,0.91149,3.93006,0.9686,0.96634,0.98339,0.72329,0.90666,0.49455,0.91601,0,0.00016436,0.00016436,0.00016436,0.04109,-0.04109,0.3,0.148505,2.20679,-12.6048,13.2123
20,346.226,0.92685,0.56478,0.90978,3.7848,0.97185,0.96682,0.9841,0.74452,0.81851,0.46141,0.89369,0,0.00016238,0.00016238,0.00016238,0.040595,-0.040595,0.3,0.149516,2.28249,-13.1428,13.7119
