cliff_count,cliff_threshold_ms,layer_name,native_input_channels,native_output_channels,noise_floor_ms,plateau_count,proposed_group_size,status
0,0.05169599689543247,model.0.conv,3,16,0.0012584000080823898,0,,insufficient_cliffs
0,0.01041598990559578,model.1.conv,16,32,0.0007782399654388428,0,,insufficient_cliffs
1,0.007151998579502106,model.2.cv1.conv,32,32,0.0005119999870657921,0,,insufficient_cliffs
0,0.001,model.2.m.0.cv1.conv,16,16,0.0005,1,,insufficient_cliffs
0,0.001,model.2.m.0.cv2.conv,16,16,0.0005,1,,insufficient_cliffs
1,0.013068001717329025,model.2.cv2.conv,48,32,0.0007153600081801414,0,,insufficient_cliffs
3,0.003264002501964569,model.3.conv,32,64,0.0005,0,8,resolved
2,0.002376001328229904,model.4.cv1.conv,64,64,0.0005,1,16,resolved
1,0.0031199986115098,model.4.m.0.cv1.conv,32,32,0.0005,1,,insufficient_cliffs
1,0.0031199986115098,model.4.m.0.cv2.conv,32,32,0.0005,1,,insufficient_cliffs
1,0.0031199986115098,model.4.m.1.cv1.conv,32,32,0.0005,1,,insufficient_cliffs
1,0.0031199986115098,model.4.m.1.cv2.conv,32,32,0.0005,1,,insufficient_cliffs
2,0.002903999760746956,model.4.cv2.conv,128,64,0.0005,0,8,resolved
4,0.001775999553501606,model.5.conv,64,128,0.0005,4,16,resolved
2,0.003504001535475254,model.6.cv1.conv,128,128,0.0005,2,48,resolved
1,0.002160000381991267,model.6.m.0.cv1.conv,64,64,0.0005,3,,insufficient_cliffs
1,0.002160000381991267,model.6.m.0.cv2.conv,64,64,0.0005,3,,insufficient_cliffs
1,0.002160000381991267,model.6.m.1.cv1.conv,64,64,0.0005,3,,insufficient_cliffs
1,0.002160000381991267,model.6.m.1.cv2.conv,64,64,0.0005,3,,insufficient_cliffs
3,0.0018720002844929695,model.6.cv2.conv,256,128,0.0005,2,24,resolved
6,0.0011879978701472282,model.7.conv,128,256,0.0005,14,40,resolved
5,0.0010440009646117687,model.8.cv1.conv,256,256,0.0005,13,32,resolved
3,0.0010919999331235886,model.8.m.0.cv1.conv,128,128,0.0005,8,16,resolved
3,0.0010919999331235886,model.8.m.0.cv2.conv,128,128,0.0005,8,16,resolved
4,0.001776000950485468,model.8.cv2.conv,384,256,0.0005,9,64,resolved
4,0.0034320009872317314,model.9.cv1.conv,256,128,0.0005,4,24,resolved
5,0.001127998810261488,model.9.cv2.conv,512,256,0.0005,15,40,resolved
