benchmark_iterations,error,groups,height,input_channels,kernel,layer_name,layer_type,mean_latency_ms,median_latency_ms,native_input_channels,native_output_channels,output_channels,output_height,output_width,p95_latency_ms,precision,profile_wall_time_seconds,repeat_median_latency_ms,reproducibility_relative_error,stage3_targeted_refinement,status,stride,tactic_name,tactic_value,tensorrt_layer_type,warmup_iterations,width
200,,1,640,3,3,model.0.conv,Conv2d,0.09346176017075777,0.09137600287795067,3,16,8,320,320,0.1065839987248182,fp16,2.1231888459988113,,,,success,2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna8_alignc8,0x5d2e9761256bbcd1,CaskConvolution,50,640
200,,1,640,3,3,model.0.conv,Conv2d,0.12936607968062164,0.12584000080823898,3,16,16,320,320,0.14579040631651874,fp16,0.9495746939974197,0.12902399897575378,0.025301956031983264,,success,2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna4_alignc8,0x60960abcd63a734f,CaskConvolution,50,640
200,,1,320,8,3,model.1.conv,Conv2d,0.03881760025396943,0.03702399879693985,16,32,8,160,160,0.04522880036383861,fp16,0.7748111049986619,,,,success,2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x32_stage1_warpsize4x1x1_g1_tensor16x8x8_alignc4,0xe52152db1090938b,CaskConvolution,50,320
200,,1,320,8,3,model.1.conv,Conv2d,0.04286703992635012,0.040463998913764954,16,32,16,160,160,0.05920959934592243,fp16,0.783468861001893,,,,success,2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x32_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna8_alignc8,0x041c3dae44ed9a7d,CaskConvolution,50,320
200,,1,320,8,3,model.1.conv,Conv2d,0.051554720252752304,0.04915200173854828,16,32,24,160,160,0.06355679929256437,fp16,0.7875037699996028,,,,success,2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna8_alignc4,0xd15fd3ec25fa5e84,CaskConvolution,50,320
200,,1,320,8,3,model.1.conv,Conv2d,0.055859679840505126,0.05422399938106537,16,32,32,160,160,0.0668592020869255,fp16,0.7643497370008845,,,,success,2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x16_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna8_alignc8,0x39a3504f7eeb810b,CaskConvolution,50,320
200,,1,320,16,3,model.1.conv,Conv2d,0.06288351995870471,0.06124800071120262,16,32,8,160,160,0.07378720231354234,fp16,0.7430431069988117,,,,success,2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x8_alignc4,0x33509f977ccad5d4,CaskConvolution,50,320
200,,1,320,16,3,model.1.conv,Conv2d,0.0647775999456644,0.06348799914121628,16,32,16,160,160,0.07409759797155857,fp16,0.7059081779989356,,,,success,2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x32_stage1_warpsize4x1x1_g1_tensor16x8x8_alignc4,0xe52152db1090938b,CaskConvolution,50,320
200,,1,320,16,3,model.1.conv,Conv2d,0.0716243202984333,0.07088000327348709,16,32,24,160,160,0.07580000311136245,fp16,0.7003031130007003,,,,success,2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna8_alignc4,0xd15fd3ec25fa5e84,CaskConvolution,50,320
200,,1,320,16,3,model.1.conv,Conv2d,0.07974575940519571,0.07782399654388428,16,32,32,160,160,0.09125600159168243,fp16,0.713398881998728,0.07894399762153625,0.01439146185483315,,success,2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna8_alignc4,0xd15fd3ec25fa5e84,CaskConvolution,50,320
