root_name,channels,group_size,importance_mean,dependency_bn_terms,selected_keep_channels,selected_latency_ms,status
model.9.cv2.conv,256,40,0.009179727174341679,1,216,0.02938624002970755,eligible
model.9.cv1.conv,128,24,0.00838490016758442,1,80,0.02812368016690016,eligible
model.8.cv2.conv,256,64,0.007318396121263504,1,192,0.027675680024549364,eligible
model.8.m.0.cv2.conv,128,16,0.013888267800211906,2,112,0.03071904002688825,eligible
model.8.m.0.cv1.conv,128,16,0.007008681073784828,1,112,0.03071904002688825,eligible
model.7.conv,256,40,0.006752491928637028,1,176,0.033771999971941115,eligible
model.6.cv2.conv,128,24,0.019512014463543892,1,128,0.03115743993781507,eligible
model.6.m.1.cv2.conv,64,,0.025838062167167664,3,,,protected_no_latency_cliff
model.6.m.1.cv1.conv,64,,0.011576388962566853,1,,,protected_no_latency_cliff
model.6.m.0.cv1.conv,64,,0.012584763579070568,1,,,protected_no_latency_cliff
model.5.conv,128,16,0.018622273579239845,1,128,0.034983519967645406,eligible
model.4.cv2.conv,64,8,0.07217864692211151,1,56,0.04486831983551383,eligible
model.4.m.1.cv2.conv,32,,0.07372661679983139,3,,,protected_no_latency_cliff
model.4.m.1.cv1.conv,32,,0.045893676578998566,1,,,protected_no_latency_cliff
model.4.m.0.cv1.conv,32,,0.05316124111413956,1,,,protected_no_latency_cliff
model.3.conv,64,8,0.052190762013196945,1,64,0.04788160018622875,eligible
model.2.cv2.conv,32,,0.078769251704216,1,,,protected_no_latency_cliff
model.2.m.0.cv2.conv,16,,0.10976812243461609,2,,,protected_no_latency_cliff
model.2.m.0.cv1.conv,16,,0.04821518808603287,1,,,protected_no_latency_cliff
model.1.conv,32,,0.07588101923465729,1,,,protected_no_latency_cliff
model.0.conv,16,,0.06237630546092987,1,,,protected_no_latency_cliff
model.2.cv0.conv,16,,0.07838248461484909,1,,,protected_no_latency_cliff
model.4.cv0.conv,32,16,0.05312362313270569,1,32,0.029996000053361057,eligible
model.6.cv0.conv,64,48,0.016411200165748596,1,64,0.024003360075876116,eligible
model.8.cv0.conv,128,32,0.003938034176826477,1,128,0.026596320038661362,eligible
