Generating SQLite file outputs/pruning_hw/tensorrt_gate/baseline/profile/kernel_trace.sqlite from outputs/pruning_hw/tensorrt_gate/baseline/profile/kernel_trace.nsys-rep
Processing [outputs/pruning_hw/tensorrt_gate/baseline/profile/kernel_trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
12.3,45145321,9400,4802.7,3936.0,1856,34688,4465.4,generatedNativePointwise
10.7,39122181,5000,7824.4,6560.0,2944,38496,5780.8,"void genericReformat::copyPackedKernel<__half, __half, (bool)0, (bool)1, genericReformat::ArrayN<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
8.0,29135291,1400,20810.9,18079.0,11295,51007,9460.0,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x64x64_stage1_warpsize2x2x1_g1_tensor16x8x8_t1r3s3_execute_kernel_trt
6.5,23642043,1200,19701.7,18368.0,9024,41504,8938.7,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x2_g1_tensor16x8x8_t1r3s3_execute_kernel_trt
5.7,20678437,1000,20678.4,21984.0,14880,28064,4017.6,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x2_g1_tensor16x8x8_execute_kernel_trt
5.1,18718270,1400,13370.2,13856.0,8672,23072,3426.7,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x64x64_stage1_warpsize2x2x1_g1_tensor16x8x8_simple_t1r1s1_execute_kernel_trt
5.0,18242076,800,22802.6,22895.5,13184,33856,5517.3,trt_turing_h1688cudnn_256x64_ldg8_relu_exp_small_nhwc_linkable_tn_v1
4.0,14612780,400,36531.9,40080.0,25952,47424,7725.8,trt_turing_h1688cudnn_256x64_sliced1x2_ldg8_relu_exp_small_nhwc_linkable_tn_v1
3.0,11160992,200,55805.0,61184.0,40288,70176,11375.3,trt_turing_h1688cudnn_128x128_ldg8_relu_exp_small_nhwc_tn_v1
2.7,9993608,600,16656.0,17872.0,11392,21728,3518.2,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x64x64_stage1_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_trt
2.6,9636846,600,16061.4,17504.0,11040,21343,3385.3,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x8_alignc4_execute_kernel_trt
2.6,9607366,600,16012.3,17216.0,10815,22111,3532.3,trt_volta_s884cudnn_fp16_256x64_ldg8_relu_exp_interior_nhwc2nchw_tn_v1
2.6,9562856,800,11953.6,10496.0,6688,23999,4992.8,"void genericReformat::copyPackedKernel<__half, __half, (bool)1, (bool)1, genericReformat::ArrayN<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
2.0,7375820,400,18439.5,18336.0,12032,25888,4323.2,trt_turing_h1688cudnn_128x128_ldg8_relu_exp_interior_nhwc_linkable_tn_v1
2.0,7329364,200,36646.8,38144.0,32128,41024,3051.2,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna4_alignc8_execute_kernel_trt
