Generating SQLite file outputs/pruning_hw/tensorrt_gate/p30_direct/profile/kernel_trace.sqlite from outputs/pruning_hw/tensorrt_gate/p30_direct/profile/kernel_trace.nsys-rep
Processing [outputs/pruning_hw/tensorrt_gate/p30_direct/profile/kernel_trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
12.2,42317083,10600,3992.2,3584.0,1440,23712,2819.8,generatedNativePointwise
7.7,26727006,1600,16704.4,16160.0,10016,25856,4835.9,trt_volta_fp16x2_hcudnn_winograd_fp16x2_128x128_ldg1_ldg4_relu_tile148t_nt_v1
4.5,15546181,800,19432.7,20287.0,13632,28768,4570.3,sm75_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x2_g1_tensor16x8x8_execute_kernel_trt
4.1,14313518,1000,14313.5,16384.0,10784,18016,2655.4,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x8_alignc4_execute_kernel_trt
4.1,14244732,400,35611.8,42575.5,26656,43232,7517.6,trt_turing_h1688cudnn_256x64_sliced1x2_ldg8_relu_exp_small_nhwc_linkable_tn_v1
4.1,14136311,1400,10097.4,8672.0,1760,21312,4840.4,"void genericReformat::copyPackedKernel<__half, __half, (bool)1, (bool)1, genericReformat::IdentityCoordMapper<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
3.4,11827486,600,19712.5,22112.0,13888,25696,4232.6,trt_turing_fp16x2_hcudnn_fp16x2_128x64_relu_interior_linkable_nn_v1
3.4,11689055,400,29222.6,27343.5,16512,44032,9341.9,trt_turing_fp16x2_hcudnn_fp16x2_128x32_relu_small_linkable_nn_v1
3.3,11470130,400,28675.3,26656.0,16256,43168,9320.2,trt_volta_fp16x2_hcudnn_fp16x2_128x64_relu_small_linkable_nn_v1
3.2,11005788,2000,5502.9,3712.0,2176,15360,3656.5,"void genericReformat::copyPackedKernel<__half, __half, (bool)0, (bool)1, genericReformat::ArrayN<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
3.2,10982178,1400,7844.4,5792.0,2432,20224,4994.2,"void genericReformat::copyPackedKernel<__half, __half, (bool)1, (bool)1, genericReformat::ArrayN<(int)4>, (int)4>(unsigned int, unsigned int, const void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, void *, genericReformat::ArrayN<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayNWithReducedDivisors<T6>, genericReformat::ArrayN<T6>, int, int, int, const float *, T5)"
2.5,8768910,200,43844.6,51440.0,33184,53888,8854.6,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x8_alignc4_execute_kernel_trt
2.5,8695235,400,21738.1,25728.0,16256,26591,4553.9,trt_turing_h1688cudnn_256x64_ldg8_relu_exp_small_nhwc_linkable_tn_v1
2.5,8534349,400,21335.9,19727.5,12192,32608,6877.2,trt_turing_fp16x2_hcudnn_fp16x2_128x32_relu_interior_nn_v1
2.1,7336312,200,36681.6,42175.5,28928,43712,6341.2,volta_first_layer_filter3x3_fwd_execute_flt_k_16_kernel_trt
