epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,sparse/groups,sparse/regularized_groups,sparse/degenerate_groups_skipped,sparse/channels,sparse/norm_min,sparse/norm_mean,sparse/norm_median,sparse/norm_max,sparse/near_zero_fraction,sparse/regularizer_grad_nonzero,sparse/regularizer_grad_delta_l2,sparse/regularizer_new_nonfinite
1,13.844,0.90213,0.53002,0.89387,0.96939,0.97113,0.98633,0.73572,0.88231,0.45931,0.89961,0.000307692,0.000307692,0.0695385,59,59,0,4864,0.419088,0.984131,0.973559,2.54942,0,1,0.0397865,0
2,27.2277,0.86075,0.50978,0.88585,0.96921,0.95925,0.98488,0.7647,0.79132,0.44414,0.88404,0.000619872,0.000619872,0.0365173,59,59,0,4864,0.41911,0.984131,0.973571,2.54943,0,1,0.0779606,0
3,40.0325,0.85744,0.50265,0.8866,0.97752,0.94534,0.98375,0.75187,0.8318,0.46932,0.8946,0.000910051,0.000910051,0.00347415,59,59,0,4864,0.419092,0.98413,0.97349,2.54945,0,1,0.0779592,0
4,52.8084,0.83953,0.4913,0.88784,0.96712,0.96542,0.98587,0.7648,0.80886,0.44414,0.88832,0.000901,0.000901,0.000901,59,59,0,4864,0.419128,0.98413,0.973564,2.54948,0,1,0.0779572,0
5,65.9302,0.85757,0.50273,0.8856,0.97244,0.95649,0.98253,0.78725,0.73897,0.42916,0.87577,0.000868,0.000868,0.000868,59,59,0,4864,0.419149,0.984129,0.973475,2.54951,0,1,0.0779515,0
6,78.9861,0.85892,0.50402,0.8871,0.97174,0.96267,0.98494,0.77455,0.7822,0.4356,0.88332,0.000835,0.000835,0.000835,59,59,0,4864,0.419141,0.984127,0.973473,2.54954,0,1,0.0779478,0
7,92.0357,0.89025,0.51381,0.8946,0.96848,0.96095,0.98405,0.78175,0.75633,0.44016,0.87747,0.000802,0.000802,0.000802,59,59,0,4864,0.419158,0.984126,0.973543,2.54958,0,1,0.0779435,0
8,105.219,0.85734,0.50338,0.88743,0.97421,0.95579,0.98333,0.70197,0.9731,0.48229,0.92156,0.000769,0.000769,0.000769,59,59,0,4864,0.419136,0.984125,0.973516,2.54961,0,1,0.0779399,0
9,118.25,0.85519,0.50314,0.88819,0.96845,0.95841,0.98361,0.75242,0.86426,0.45953,0.89934,0.000736,0.000736,0.000736,59,59,0,4864,0.41911,0.984123,0.973473,2.54963,0,1,0.0779353,0
10,131.478,0.85409,0.49698,0.89034,0.97628,0.9569,0.98548,0.78752,0.73629,0.42289,0.87525,0.000703,0.000703,0.000703,59,59,0,4864,0.419106,0.984123,0.97349,2.54966,0,1,0.0779292,0
11,144.952,0.87122,0.50868,0.88834,0.96351,0.96275,0.98573,0.7689,0.80648,0.4408,0.8874,0.00067,0.00067,0.00067,59,59,0,4864,0.419121,0.984122,0.973502,2.54969,0,1,0.0779267,0
12,158.385,0.85966,0.50232,0.88775,0.964,0.96617,0.98583,0.77473,0.78188,0.4396,0.88563,0.000637,0.000637,0.000637,59,59,0,4864,0.419068,0.984121,0.973472,2.54972,0,1,0.0779254,0
13,171.912,0.8528,0.49459,0.88848,0.97045,0.96205,0.98564,0.77561,0.78657,0.4311,0.8853,0.000604,0.000604,0.000604,59,59,0,4864,0.419032,0.984119,0.973472,2.54975,0,1,0.0779234,0
14,185.336,0.84327,0.49434,0.88505,0.97043,0.96236,0.98542,0.72624,0.9276,0.45964,0.9116,0.000571,0.000571,0.000571,59,59,0,4864,0.419051,0.984119,0.973457,2.54977,0,1,0.0779144,0
15,198.52,0.86009,0.49965,0.88644,0.97585,0.9589,0.98613,0.71241,0.97527,0.47053,0.91983,0.000538,0.000538,0.000538,59,59,0,4864,0.419012,0.984118,0.973463,2.54979,0,1,0.0779115,0
16,211.756,0.84861,0.49421,0.88555,0.97405,0.95738,0.98495,0.71423,0.9559,0.471,0.91741,0.000505,0.000505,0.000505,59,59,0,4864,0.418992,0.984118,0.97348,2.54982,0,1,0.0779101,0
17,225.209,0.84067,0.49307,0.88262,0.97393,0.9651,0.98664,0.78348,0.75575,0.42251,0.87646,0.000472,0.000472,0.000472,59,59,0,4864,0.418991,0.984117,0.973473,2.54984,0,1,0.0779126,0
18,238.876,0.8586,0.49696,0.89008,0.97144,0.96948,0.98694,0.78494,0.75975,0.41493,0.8784,0.000439,0.000439,0.000439,59,59,0,4864,0.418995,0.984116,0.973483,2.54986,0,1,0.077911,0
19,252.364,0.81942,0.4768,0.88358,0.97063,0.9661,0.98644,0.7809,0.75387,0.41973,0.87834,0.000406,0.000406,0.000406,59,59,0,4864,0.418968,0.984115,0.973461,2.54988,0,1,0.0779088,0
20,265.513,0.83993,0.48689,0.88458,0.96967,0.96554,0.98542,0.77757,0.76894,0.42134,0.88109,0.000373,0.000373,0.000373,59,59,0,4864,0.418936,0.984115,0.973459,2.54989,0,1,0.0779086,0
