epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,sparse/groups,sparse/regularized_groups,sparse/degenerate_groups_skipped,sparse/channels,sparse/norm_min,sparse/norm_mean,sparse/norm_median,sparse/norm_max,sparse/near_zero_fraction,sparse/regularizer_grad_nonzero,sparse/regularizer_grad_delta_l2,sparse/regularizer_new_nonfinite
1,13.7008,0.90216,0.53006,0.89388,0.96861,0.97132,0.98632,0.73646,0.88041,0.45878,0.89932,0.000307692,0.000307692,0.0695385,59,59,0,4864,0.419088,0.984131,0.973559,2.54942,0,1,0.198933,0
2,26.4032,0.86069,0.5098,0.88584,0.95956,0.96868,0.98489,0.76498,0.79052,0.44378,0.88387,0.000619872,0.000619872,0.0365173,59,59,0,4864,0.419108,0.984131,0.973569,2.54944,0,1,0.389803,0
3,39.1055,0.85732,0.50281,0.88662,0.97686,0.94519,0.98373,0.75264,0.82761,0.46826,0.89388,0.000910051,0.000910051,0.00347415,59,59,0,4864,0.419084,0.984129,0.973483,2.54948,0,1,0.389791,0
4,51.9804,0.83941,0.49123,0.88783,0.96844,0.96439,0.98586,0.7664,0.8033,0.44248,0.88738,0.000901,0.000901,0.000901,59,59,0,4864,0.419111,0.984127,0.973566,2.54956,0,1,0.38977,0
5,64.7799,0.857,0.50282,0.88548,0.97115,0.95754,0.9823,0.78571,0.74391,0.42981,0.87653,0.000868,0.000868,0.000868,59,59,0,4864,0.419127,0.984125,0.973472,2.54964,0,1,0.389726,0
6,77.6338,0.85871,0.50397,0.88706,0.96717,0.96775,0.98499,0.77351,0.78453,0.43623,0.88383,0.000835,0.000835,0.000835,59,59,0,4864,0.419107,0.984122,0.97347,2.54972,0,1,0.389691,0
7,90.6087,0.88964,0.51354,0.89453,0.96842,0.96208,0.98409,0.78189,0.75519,0.43976,0.87738,0.000802,0.000802,0.000802,59,59,0,4864,0.419109,0.98412,0.973516,2.54979,0,1,0.38965,0
8,103.57,0.85707,0.50342,0.8875,0.9757,0.95561,0.98344,0.70536,0.96631,0.48115,0.92023,0.000769,0.000769,0.000769,59,59,0,4864,0.419071,0.984118,0.973487,2.54986,0,1,0.389612,0
9,116.548,0.85491,0.50326,0.88821,0.96795,0.96111,0.98384,0.75598,0.84929,0.45494,0.89656,0.000736,0.000736,0.000736,59,59,0,4864,0.419031,0.984115,0.973464,2.54993,0,1,0.389574,0
10,129.686,0.8538,0.49682,0.89031,0.97646,0.95673,0.98539,0.78938,0.73457,0.42298,0.8748,0.000703,0.000703,0.000703,59,59,0,4864,0.419016,0.984113,0.973496,2.55,0,1,0.389528,0
11,142.986,0.8707,0.50858,0.88824,0.97071,0.95425,0.98566,0.76388,0.82804,0.44759,0.89076,0.00067,0.00067,0.00067,59,59,0,4864,0.419025,0.984111,0.97346,2.55006,0,1,0.389501,0
