epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3994,3.72245,4.98433,2.27298,0.00013,0.00782,1e-05,1e-05,3.81731,5.10068,2.51803,0.000285714,0.000285714,0.000285714
2,18.9834,3.37038,4.79164,2.05657,0.00799,0.35569,0.06552,0.02305,1.7961,4.33447,1.20759,0.000612919,0.000612919,0.000612919
3,25.7665,1.93788,2.98109,1.20346,0.00055,0.02186,0.00076,0.00029,1.55722,4.28431,1.16248,0.000933524,0.000933524,0.000933524
4,32.5839,1.594,2.27049,1.0993,0.00504,0.06001,0.01589,0.00651,1.79463,4.38478,1.30031,0.0009703,0.0009703,0.0009703
5,39.2257,1.48688,1.86723,1.06212,0.0044,0.12186,0.04125,0.01826,1.55241,4.30702,1.19856,0.0009604,0.0009604,0.0009604
6,45.9004,1.50249,1.71297,1.07976,0.00821,0.16445,0.06235,0.01629,1.8713,4.24301,1.24169,0.0009505,0.0009505,0.0009505
7,52.9283,1.39281,1.50871,1.03967,0.01018,0.33341,0.16255,0.04221,1.70441,4.07608,1.18353,0.0009406,0.0009406,0.0009406
8,59.825,1.37892,1.41374,1.02576,0.0158,0.56256,0.38005,0.17258,1.38801,3.7402,1.06259,0.0009307,0.0009307,0.0009307
9,66.6314,1.27106,1.2535,1.00995,0.51897,0.46332,0.40747,0.11941,1.86637,3.56193,1.19703,0.0009208,0.0009208,0.0009208
10,73.3111,1.32926,1.21375,1.00815,0.01252,0.44362,0.15072,0.02585,2.82036,3.72076,1.62263,0.0009109,0.0009109,0.0009109
11,80.0192,1.25362,1.16037,1.00126,0.76913,0.19304,0.53813,0.16317,2.03661,2.91995,1.27737,0.000901,0.000901,0.000901
12,87.231,1.24285,1.0827,0.99842,0.99479,0.17379,0.7591,0.44524,1.25546,2.86052,1.01494,0.0008911,0.0008911,0.0008911
13,94.1817,1.18108,1.03999,0.98616,0.96252,0.3187,0.78774,0.45086,1.27177,2.59759,1.02285,0.0008812,0.0008812,0.0008812
14,101.41,1.17079,1.02156,0.97866,0.95885,0.37601,0.81281,0.48672,1.28955,2.4924,1.03639,0.0008713,0.0008713,0.0008713
15,108.312,1.18309,0.99077,0.97141,0.90131,0.78103,0.89729,0.54663,1.31665,1.71912,1.05002,0.0008614,0.0008614,0.0008614
16,115.311,1.15873,0.96103,0.96775,0.92995,0.72032,0.88978,0.57894,1.17322,1.77483,0.99071,0.0008515,0.0008515,0.0008515
17,121.933,1.21177,0.97132,0.99654,0.91626,0.70759,0.8624,0.31246,2.07381,1.77197,1.43934,0.0008416,0.0008416,0.0008416
18,128.764,1.18261,0.97245,0.97264,0.89,0.82775,0.92077,0.5563,1.26134,1.33191,1.01372,0.0008317,0.0008317,0.0008317
